,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
112,adventure,noun,a2,a2,1,7,3,2
113,adverse,adjective,-1,c1,1,0,0,0
114,advertise,verb,a2,a2,0,0,1,0
115,advertisement,noun,a2,a2,0,0,0,0
116,advertising,noun,a2,a2,0,0,0,0
117,advice,noun,a1,a1,1,1,20,4
118,advise,verb,b1,b1,1,1,0,5
119,advocate,noun,-1,c1,0,0,0,0
120,advocate,verb,-1,c1,0,0,0,0
121,aesthetic,adjective,-1,c1,0,0,0,0
122,affair,noun,b2,b2,1,2,0,0
123,affect,verb,a2,a2,0,0,0,0
124,affection,noun,-1,c1,3,4,1,1
125,afford,verb,b1,b1,0,4,21,2
126,affordable,adjective,-1,b2,0,0,0,0
127,afraid,adjective,a1,a1,75,102,40,44
128,after,adverb,a2,a2,291,256,325,353
129,after,conjunction,a2,a2,0,0,0,0
130,after,preposition,a1,a1,0,0,0,0
131,aftermath,noun,-1,c1,0,1,0,2
132,afternoon,noun,a1,a1,10,15,17,20
133,afterwards,adverb,b2,b2,0,0,0,0
134,again,adverb,a1,a1,300,280,339,468
135,against,preposition,a2,a2,212,201,234,288
136,age,noun,a1,a1,38,58,30,46
137,age,verb,b1,b1,0,0,0,0
138,aged,adjective,b1,b1,5,8,0,7
139,agency,noun,b2,b2,0,0,0,0
140,agenda,noun,b2,b2,0,0,0,0
141,agent,noun,b1,b1,0,0,5,0
142,aggression,noun,-1,c1,0,0,0,0
143,aggressive,adjective,b2,b2,0,0,0,0
144,ago,adverb,a1,a1,45,57,104,52
145,agree,verb,a1,a1,17,13,12,15
146,agreement,noun,b1,b1,6,4,9,2
147,agricultural,adjective,-1,c1,0,0,0,0
148,agriculture,noun,-1,b2,0,0,0,0
149,ah,exclamation,a2,a2,21,23,18,12
150,ahead,adverb,b1,b1,54,55,24,49
151,aid,noun,b2,b2,8,2,4,4
152,aid,verb,b2,b2,0,0,0,0
153,aide,noun,-1,c1,0,0,0,0
154,aids,noun,-1,b2,0,0,0,0
155,aim,noun,b1,b1,0,1,3,5
156,aim,verb,b1,b1,0,0,0,0
157,air,noun,a1,a1,102,101,89,131
158,aircraft,noun,b2,b2,0,0,0,0
159,airline,noun,a2,a2,0,0,0,0
160,airport,noun,a1,a1,0,0,0,0
161,alarm,noun,b1,b1,2,1,1,4
162,alarm,verb,b2,b2,0,0,0,0
163,albeit,conjunction,-1,c1,2,0,1,0
164,album,noun,b1,b1,0,0,0,0
165,alcohol,noun,b1,b1,0,0,6,0
166,alcoholic,adjective,b1,b1,0,0,0,0
167,alert,adjective,-1,c1,0,1,0,2
168,alert,noun,-1,c1,0,0,0,0
169,alert,verb,-1,c1,0,0,0,0
170,alien,adjective,-1,c1,0,3,1,2
171,alien,noun,-1,b2,0,0,0,0
172,align,verb,-1,c1,0,0,0,0
173,alignment,noun,-1,c1,0,0,0,0
174,alike,adjective,-1,c1,32,22,0,23
175,alike,adverb,-1,c1,0,0,0,0
176,alive,adjective,a2,a2,40,50,19,52
177,all,adverb,a2,a2,578,482,755,853
178,all,determiner,a1,a1,0,0,0,0
179,all,pronoun,a1,a1,0,0,0,0
180,all right,adjective,a2,a2,0,0,0,0
181,all right,adverb,a2,a2,0,0,0,0
182,all right,exclamation,a2,a2,0,0,0,0
183,allegation,noun,-1,c1,0,0,0,0
184,allege,verb,-1,c1,0,0,0,0
185,allegedly,adverb,-1,c1,0,0,0,0
186,alliance,noun,-1,c1,4,0,0,7
187,allocate,verb,-1,c1,0,0,0,0
188,allocation,noun,-1,c1,0,0,0,0
189,allow,verb,a2,a2,7,12,3,8
190,allowance,noun,-1,c1,0,0,1,0
191,ally,noun,-1,c1,2,0,0,1
