Palabra;Categoría Gramatical;Oxford3000;Oxford5000;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice
accounting;noun;-1;-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
accumulate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accumulation;noun;-1;c1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accuracy;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0
accurate;adjective;b2;b2;1;1.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;1.0;5.0;0.0;1.0
accurately;adverb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
accusation;noun;-1;c1;4;0.0;3.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;1.0
accuse;verb;b2;b2;3;1.0;3.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
accused;noun;-1;c1;6;4.0;9.0;0.0;0.0;0.0;4.0;6.0;2.0;3.0;4.0;0.0;2.0
achieve;verb;a2;a2;0.0;2.0;0.0;1.0;0.0;0.0;2.0;4.0;2.0;0.0;1.0;0.0;0.0
achievement;noun;b1;b1;0.0;0.0;0.0;0.0;1.0;2.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0
acid;adjective;-1;c1;1;1.0;2.0;1.0;0.0;3.0;3.0;1.0;4.0;2.0;4.0;1.0;0.0
acid;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
acknowledge;verb;b2;b2;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;8.0
acquire;verb;b2;b2;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
acquisition;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0
acre;noun;-1;c1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
across;adverb;a1;a1;257;245.0;253.0;38.0;38.0;68.0;118.0;136.0;65.0;100.0;166.0;23.0;5.0
across;preposition;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
act;noun;b1;b1;11;10.0;9.0;1.0;6.0;7.0;7.0;19.0;15.0;22.0;17.0;0.0;9.0
act;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
action;noun;a1;a1;2;2.0;2.0;0.0;2.0;5.0;7.0;5.0;6.0;10.0;12.0;0.0;2.0
activate;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
activation;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
active;adjective;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;4.0
activist;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
activity;noun;a1;a1;1;0.0;1.0;0.0;3.0;0.0;4.0;2.0;1.0;1.0;6.0;0.0;4.0
actor;noun;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;4.0;0.0;0.0
actress;noun;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
actual;adjective;b2;b2;7;3.0;14.0;0.0;1.0;0.0;2.0;1.0;3.0;1.0;1.0;0.0;5.0
actually;adverb;a2;a2;1;0.0;0.0;2.0;4.0;5.0;20.0;46.0;31.0;35.0;73.0;0.0;12.0
acute;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0
ad;noun;b1;b1;1;0.0;5.0;0.0;0.0;6.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0
adapt;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
adaptation;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
add;verb;a1;a1;2;9.0;5.0;3.0;8.0;2.0;9.0;7.0;5.0;4.0;10.0;0.0;12.0
addiction;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
addition;noun;b1;b1;1;3.0;0.0;0.0;1.0;2.0;0.0;6.0;2.0;2.0;12.0;1.0;8.0
additional;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;5.0;0.0;2.0;0.0;2.0
additionally;adverb;-1;b2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
address;noun;a1;a1;2;1.0;2.0;3.0;3.0;0.0;3.0;2.0;1.0;6.0;3.0;0.0;19.0
address;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
adequate;adjective;-1;b2;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
adequately;adverb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
adhere;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
adjacent;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
adjust;verb;-1;b2;3;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
adjustment;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0
administer;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
administration;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
administrative;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
administrator;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
admire;verb;b1;b1;2;2.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;18.0
admission;noun;-1;c1;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;0.0;1.0
admit;verb;b1;b1;13;14.0;18.0;0.0;6.0;6.0;13.0;11.0;9.0;9.0;30.0;0.0;6.0
adolescent;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
adopt;verb;b2;b2;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0
adoption;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
adult;adjective;a2;a2;1;0.0;0.0;0.0;0.0;2.0;3.0;2.0;2.0;2.0;0.0;0.0;0.0
adult;noun;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advance;adjective;b2;b2;1;2.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;4.0;0.0;3.0
advance;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advance;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advanced;adjective;b1;b1;1;2.0;3.0;1.0;2.0;5.0;4.0;14.0;32.0;6.0;16.0;0.0;5.0
advantage;noun;a2;a2;0.0;2.0;2.0;0.0;0.0;6.0;2.0;5.0;10.0;2.0;16.0;0.0;34.0
adventure;noun;a2;a2;7;1.0;2.0;5.0;2.0;1.0;0.0;1.0;6.0;2.0;3.0;0.0;2.0
adverse;adjective;-1;c1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advertise;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0
advertisement;noun;a2;a2;0.0;0.0;0.0;0.0;2.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
advertising;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advice;noun;a1;a1;1;1.0;4.0;3.0;3.0;1.0;9.0;28.0;3.0;4.0;20.0;0.0;16.0
advise;verb;b1;b1;1;1.0;5.0;0.0;2.0;1.0;1.0;5.0;1.0;1.0;0.0;0.0;8.0
advocate;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
advocate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aesthetic;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
affair;noun;b2;b2;2;1.0;0.0;0.0;1.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;18.0
affect;verb;a2;a2;0.0;0.0;0.0;1.0;1.0;4.0;2.0;1.0;1.0;2.0;0.0;0.0;3.0
affection;noun;-1;c1;4;3.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;5.0;1.0;0.0;58.0
afford;verb;b1;b1;4;0.0;2.0;6.0;1.0;5.0;3.0;2.0;1.0;2.0;21.0;0.0;7.0
affordable;adjective;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
afraid;adjective;a1;a1;102;75.0;44.0;9.0;3.0;17.0;15.0;36.0;23.0;24.0;40.0;0.0;37.0
after;adverb;a2;a2;256;291.0;353.0;68.0;71.0;135.0;172.0;274.0;221.0;258.0;325.0;50.0;200.0
after;conjunction;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
after;preposition;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
