Palabra;Categoría Gramatical;Oxford3000;Oxford5000;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice
confront;verb;-1;c1;3;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
confrontation;noun;-1;c1;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
confuse;verb;b1;b1;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
confused;adjective;b1;b1;9;13.0;18.0;4.0;3.0;11.0;4.0;20.0;6.0;22.0;13.0;0.0;4.0
confusing;adjective;b2;b2;0.0;0.0;2.0;2.0;0.0;1.0;0.0;4.0;1.0;0.0;6.0;0.0;0.0
confusion;noun;-1;b2;3;9.0;14.0;3.0;2.0;0.0;5.0;0.0;2.0;6.0;14.0;0.0;11.0
congratulate;verb;-1;c1;0.0;0.0;2.0;0.0;0.0;2.0;2.0;1.0;1.0;2.0;0.0;0.0;7.0
congregation;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
congressional;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
connect;verb;a2;a2;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;2.0
connected;adjective;a2;a2;1;0.0;2.0;0.0;3.0;0.0;14.0;6.0;5.0;9.0;5.0;0.0;14.0
connection;noun;b1;b1;0.0;0.0;0.0;0.0;0.0;1.0;6.0;5.0;3.0;26.0;1.0;0.0;20.0
conquer;verb;-1;c1;1;2.0;6.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;2.0
conscience;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;2.0;1.0;0.0;5.0
conscious;adjective;b2;b2;5;0.0;1.0;0.0;0.0;2.0;1.0;5.0;3.0;10.0;5.0;0.0;3.0
consciousness;noun;-1;c1;1;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0
consecutive;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
consensus;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
consent;noun;-1;c1;11;21.0;12.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;13.0
consent;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
consequence;noun;b1;b1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0
consequently;adverb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;10.0
conservation;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
conservative;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
conservative;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
conserve;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
consider;verb;a2;a2;6;7.0;15.0;0.0;0.0;3.0;6.0;7.0;8.0;3.0;12.0;0.0;33.0
considerable;adjective;-1;b2;0.0;1.0;1.0;0.0;2.0;1.0;4.0;3.0;6.0;1.0;4.0;0.0;9.0
considerably;adverb;-1;b2;0.0;0.0;0.0;0.0;1.0;3.0;3.0;2.0;2.0;0.0;3.0;0.0;3.0
consideration;noun;b2;b2;0.0;2.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;7.0;1.0;14.0
consist;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
consistency;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0
consistent;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
consistently;adverb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
consolidate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
conspiracy;noun;-1;b2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
constant;adjective;b2;b2;3;2.0;3.0;0.0;1.0;1.0;6.0;2.0;3.0;9.0;5.0;1.0;12.0
constantly;adverb;b2;b2;1;0.0;6.0;1.0;2.0;5.0;3.0;1.0;0.0;2.0;3.0;0.0;3.0
constituency;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
constitute;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
constitution;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
constitutional;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
constraint;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
construct;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
construction;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
consult;verb;-1;b2;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;3.0;1.0;0.0;0.0;3.0
consultant;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
consultation;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
consume;verb;b1;b1;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
consumer;noun;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
consumption;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
contact;noun;b1;b1;0.0;0.0;0.0;5.0;2.0;2.0;14.0;23.0;11.0;16.0;8.0;1.0;0.0
contact;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contain;verb;a2;a2;1;1.0;1.0;0.0;1.0;0.0;1.0;2.0;2.0;4.0;0.0;0.0;6.0
container;noun;b1;b1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0
contemplate;verb;-1;c1;4;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0
contemporary;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contempt;noun;-1;c1;11;6.0;7.0;0.0;0.0;0.0;0.0;2.0;5.0;3.0;2.0;0.0;12.0
contend;verb;-1;c1;0.0;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
contender;noun;-1;c1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
content;adjective;-1;c1;4;5.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;7.0;7.0;1.0
content;noun;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contention;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contest;noun;b2;b2;3;1.0;8.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
contest;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
context;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
continent;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
continually;adverb;-1;c1;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;1.0;0.0;0.0;6.0
continue;verb;a2;a2;5;7.0;12.0;2.0;0.0;1.0;7.0;20.0;19.0;14.0;12.0;0.0;9.0
continuous;adjective;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contract;noun;b2;b2;0.0;1.0;3.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0
contract;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contractor;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contradiction;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
contrary;adjective;-1;c1;0.0;0.0;1.0;2.0;1.0;2.0;7.0;12.0;7.0;1.0;3.0;0.0;10.0
contrary;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contrast;noun;b1;b1;1;1.0;1.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;3.0;0.0;3.0
contrast;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
contribute;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0
contribution;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0
contributor;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
control;noun;a2;a2;5;3.0;5.0;6.0;8.0;8.0;21.0;26.0;14.0;28.0;26.0;0.0;0.0
control;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controversial;adjective;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
controversy;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
convenience;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0
convenient;adjective;b1;b1;2;1.0;1.0;0.0;0.0;1.0;3.0;3.0;2.0;1.0;5.0;0.0;5.0
convention;noun;-1;b2;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
conventional;adjective;-1;b2;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
conversation;noun;a1;a1;2;1.0;1.0;0.0;2.0;10.0;23.0;29.0;27.0;8.0;47.0;0.0;61.0
conversion;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
convert;verb;b2;b2;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
convey;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0
convict;verb;-1;c1;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
conviction;noun;-1;c1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;2.0;0.0;16.0
convince;verb;b1;b1;2;6.0;8.0;1.0;0.0;3.0;1.0;7.0;4.0;2.0;6.0;0.0;4.0
convinced;adjective;b2;b2;2;3.0;11.0;2.0;3.0;7.0;6.0;21.0;10.0;10.0;7.0;0.0;40.0
convincing;adjective;-1;b2;3;2.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;2.0;5.0;0.0;0.0
cook;noun;a2;a2;8;27.0;31.0;0.0;0.0;0.0;7.0;0.0;1.0;2.0;2.0;0.0;1.0
cook;verb;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cooker;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cooking;noun;a1;a1;1;6.0;4.0;0.0;1.0;3.0;4.0;2.0;5.0;3.0;6.0;0.0;1.0
cool;adjective;a1;a1;33;19.0;18.0;3.0;5.0;4.0;12.0;36.0;12.0;13.0;43.0;10.0;3.0
cool;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cooperate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0
cooperative;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
coordinate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
coordination;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
coordinator;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cop;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
cope;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;1.0;3.0;5.0;1.0;1.0;2.0;0.0;0.0
copper;noun;-1;c1;19;22.0;20.0;3.0;2.0;1.0;1.0;3.0;1.0;3.0;37.0;15.0;0.0
copy;noun;a2;a2;2;4.0;1.0;2.0;7.0;8.0;12.0;22.0;36.0;22.0;8.0;0.0;0.0
copy;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
copyright;noun;-1;c1;0.0;0.0;0.0;0.0;2.0;3.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0
core;adjective;b2;b2;3;2.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;3.0;0.0;0.0
core;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
corner;noun;a2;a2;24;24.0;8.0;25.0;24.0;31.0;45.0;76.0;51.0;46.0;69.0;13.0;1.0
corporate;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
corporation;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
correct;adjective;a1;a1;2;1.0;5.0;0.0;0.0;1.0;6.0;16.0;15.0;6.0;6.0;0.0;2.0
correct;verb;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
correction;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
correctly;adverb;a2;a2;0.0;0.0;1.0;0.0;0.0;2.0;3.0;3.0;4.0;2.0;1.0;0.0;0.0
correlate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
correlation;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
correspond;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
correspondence;noun;-1;c1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;5.0
correspondent;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;2.0
corresponding;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
corridor;noun;-1;b2;3;0.0;1.0;30.0;31.0;30.0;34.0;93.0;52.0;38.0;0.0;0.0;0.0
corrupt;adjective;-1;c1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
corruption;noun;-1;c1;3;5.0;3.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0
cost;noun;a1;a1;6;17.0;21.0;3.0;0.0;3.0;3.0;6.0;4.0;4.0;17.0;1.0;4.0
cost;verb;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
costly;adjective;-1;c1;6;5.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
costume;noun;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0
cottage;noun;b1;b1;2;4.0;6.0;0.0;0.0;0.0;9.0;0.0;7.0;37.0;2.0;0.0;0.0
cotton;noun;b1;b1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0
could;modal verb;a1;a1;812;932.0;1319.0;198.0;214.0;231.0;454.0;639.0;481.0;643.0;677.0;95.0;525.0
council;noun;b2;b2;78;58.0;26.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0
councillor;noun;-1;c1;6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
counselling;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
counsellor;noun;-1;c1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
count;noun;b1;b1;22;35.0;47.0;2.0;3.0;7.0;6.0;15.0;7.0;8.0;25.0;0.0;0.0
count;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
counter;noun;-1;b2;0.0;1.0;1.0;4.0;7.0;6.0;1.0;4.0;3.0;8.0;11.0;4.0;0.0
counter;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
counterpart;noun;-1;c1;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
countless;adjective;-1;c1;5;3.0;1.0;0.0;5.0;1.0;3.0;0.0;0.0;2.0;4.0;3.0;0.0
country;noun;a1;a1;5;5.0;2.0;4.0;2.0;4.0;10.0;7.0;11.0;17.0;4.0;0.0;41.0
countryside;noun;b1;b1;1;0.0;0.0;3.0;0.0;0.0;2.0;0.0;2.0;6.0;4.0;0.0;0.0
county;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
coup;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
couple;noun;a2;a2;4;3.0;9.0;8.0;5.0;9.0;24.0;52.0;29.0;28.0;69.0;0.0;8.0
courage;noun;b2;b2;33;45.0;46.0;6.0;2.0;0.0;6.0;0.0;2.0;8.0;0.0;0.0;12.0
course;noun;a1;a1;19;23.0;59.0;49.0;50.0;49.0;115.0;167.0;146.0;87.0;97.0;17.0;46.0
court;noun;b1;b1;46;33.0;44.0;0.0;0.0;0.0;4.0;7.0;0.0;9.0;18.0;0.0;4.0
courtesy;noun;-1;c1;17;15.0;31.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;2.0
cousin;noun;a1;a1;5;37.0;52.0;3.0;2.0;1.0;4.0;20.0;3.0;13.0;7.0;0.0;49.0
cover;noun;b1;b1;18;13.0;15.0;3.0;13.0;6.0;5.0;27.0;9.0;15.0;25.0;1.0;1.0
cover;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
coverage;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
covered;adjective;b1;b1;79;61.0;71.0;9.0;24.0;16.0;32.0;43.0;19.0;25.0;30.0;8.0;2.0
cow;noun;a1;a1;4;8.0;18.0;0.0;0.0;0.0;2.0;6.0;1.0;0.0;7.0;0.0;0.0
crack;noun;-1;b2;20;19.0;12.0;6.0;10.0;14.0;6.0;27.0;13.0;14.0;22.0;14.0;0.0
crack;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
craft;noun;-1;b2;1;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;0.0
craft;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crash;noun;b2;b2;8;18.0;10.0;10.0;12.0;6.0;4.0;15.0;8.0;11.0;1.0;0.0;0.0
crash;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crawl;verb;-1;c1;4;8.0;12.0;0.0;1.0;0.0;0.0;2.0;1.0;5.0;3.0;0.0;0.0
crazy;adjective;a2;a2;0.0;0.0;0.0;2.0;5.0;2.0;0.0;1.0;0.0;0.0;24.0;0.0;0.0
cream;adjective;b1;b1;10;11.0;9.0;3.0;5.0;4.0;7.0;0.0;2.0;0.0;1.0;2.0;0.0
cream;noun;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
create;verb;a1;a1;2;0.0;1.0;1.0;0.0;0.0;0.0;1.0;7.0;2.0;1.0;0.0;0.0
creation;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;3.0;0.0;0.0
creative;adjective;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
creativity;noun;-1;b2;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
creator;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
creature;noun;b2;b2;10;11.0;19.0;2.0;13.0;9.0;14.0;17.0;9.0;19.0;9.0;0.0;14.0
credibility;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
credible;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
credit;noun;a2;a2;3;0.0;1.0;1.0;3.0;0.0;0.0;0.0;5.0;4.0;11.0;0.0;27.0
credit;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
creep;verb;-1;c1;1;3.0;7.0;2.0;0.0;1.0;3.0;1.0;2.0;1.0;7.0;0.0;0.0
crew;noun;b2;b2;0.0;10.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crime;noun;a2;a2;9;4.0;18.0;2.0;3.0;1.0;3.0;3.0;3.0;4.0;1.0;0.0;0.0
criminal;adjective;b1;b1;0.0;0.0;0.0;0.0;0.0;5.0;1.0;6.0;0.0;1.0;0.0;0.0;0.0
criminal;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crisis;noun;b2;b2;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
criterion;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
critic;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
critical;adjective;b2;b2;1;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0
critically;adverb;-1;b2;3;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0
criticism;noun;b2;b2;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0
criticize;verb;b2;b2;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;1.0;1.0;1.0;0.0;0.0
critique;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crop;noun;b2;b2;2;6.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0
cross;noun;a2;a2;27;24.0;41.0;10.0;8.0;12.0;13.0;10.0;15.0;26.0;19.0;6.0;4.0
cross;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crowd;noun;a2;a2;21;34.0;6.0;17.0;44.0;38.0;89.0;46.0;32.0;28.0;54.0;0.0;1.0
crowded;adjective;a2;a2;13;30.0;26.0;4.0;8.0;11.0;9.0;4.0;6.0;12.0;11.0;1.0;3.0
crown;noun;-1;c1;37;85.0;95.0;1.0;0.0;0.0;0.0;3.0;1.0;6.0;3.0;0.0;1.0
crucial;adjective;b2;b2;0.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;7.0;3.0;0.0;0.0;0.0
crude;adjective;-1;c1;4;7.0;11.0;0.0;0.0;0.0;2.0;2.0;3.0;2.0;9.0;0.0;0.0
cruel;adjective;b1;b1;47;38.0;44.0;1.0;2.0;2.0;7.0;2.0;2.0;5.0;11.0;0.0;4.0
cruise;noun;-1;b2;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cruise;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crush;verb;-1;c1;2;2.0;5.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;3.0;1.0;0.0
cry;noun;b2;b2;50;38.0;30.0;8.0;2.0;2.0;9.0;14.0;10.0;14.0;21.0;4.0;1.0
cry;verb;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
crystal;noun;-1;c1;10;16.0;6.0;2.0;1.0;20.0;3.0;10.0;14.0;7.0;0.0;12.0;0.0
cue;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0
cult;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cult;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
