Palabra;Book 1;Book 2;Book 3;Book 4;Book 5;Suma Total
koning;;;;210.0;6.0;216.0
dus;110.0;5.0;82.0;17.0;1.0;215.0
hadden;56.0;5.0;86.0;67.0;0.0;214.0
harry;213.0;0.0;0.0;0.0;0.0;213.0
alle;72.0;2.0;26.0;106.0;5.0;211.0
ons;79.0;3.0;41.0;49.0;39.0;211.0
laten;111.0;3.0;52.0;44.0;0.0;210.0
zei;51.0;30.0;126.0;1.0;0.0;208.0
misschien;120.0;3.0;80.0;4.0;0.0;207.0
ging;54.0;14.0;61.0;77.0;1.0;207.0
even;137.0;3.0;54.0;8.0;4.0;206.0
alles;55.0;2.0;65.0;81.0;2.0;205.0
leven;64.0;1.0;99.0;29.0;12.0;205.0
hand;102.0;9.0;61.0;22.0;9.0;203.0
iemand;147.0;3.0;39.0;11.0;1.0;201.0
waarom;114.0;6.0;71.0;7.0;3.0;201.0
steeds;86.0;2.0;47.0;52.0;13.0;200.0
land;6.0;0.0;4.0;176.0;12.0;198.0
nooit;77.0;5.0;87.0;17.0;11.0;197.0
mensen;119.0;9.0;68.0;0.0;0.0;196.0
weg;93.0;21.0;48.0;33.0;1.0;196.0
dag;46.0;6.0;51.0;75.0;17.0;195.0
zelf;121.0;6.0;29.0;35.0;4.0;195.0
uw;106.0;0.0;6.0;4.0;77.0;193.0
schip;;;;192.0;0.0;192.0
onder;78.0;2.0;32.0;76.0;3.0;191.0
mee;126.0;7.0;51.0;6.0;0.0;190.0
ogen;62.0;13.0;108.0;0.0;0.0;183.0
komen;95.0;2.0;46.0;38.0;0.0;181.0
stond;25.0;7.0;82.0;60.0;6.0;180.0
staat;152.0;0.0;7.0;13.0;7.0;179.0
nee;93.0;4.0;80.0;0.0;0.0;177.0
zonder;51.0;0.0;58.0;60.0;5.0;174.0
toe;47.0;7.0;76.0;37.0;5.0;172.0
beerenkamp;172.0;0.0;0.0;0.0;0.0;172.0
jij;131.0;1.0;40.0;0.0;0.0;172.0
jaar;124.0;6.0;35.0;5.0;0.0;170.0
één;132.0;2.0;26.0;8.0;0.0;168.0
net;84.0;7.0;73.0;2.0;1.0;167.0
geweest;81.0;2.0;51.0;31.0;1.0;166.0
rob;162.0;0.0;0.0;0.0;0.0;162.0
liet;16.0;4.0;35.0;105.0;1.0;161.0
wordt;124.0;3.0;19.0;7.0;8.0;161.0
anders;83.0;1.0;63.0;11.0;0.0;158.0
keer;140.0;4.0;12.0;1.0;0.0;157.0
snel;72.0;5.0;41.0;38.0;0.0;156.0
verder;62.0;5.0;57.0;30.0;1.0;155.0
komt;118.0;0.0;17.0;5.0;13.0;153.0
wie;91.0;0.0;35.0;14.0;12.0;152.0
dokter;13.0;5.0;131.0;0.0;0.0;149.0
meteen;95.0;0.0;53.0;1.0;0.0;149.0
terug;62.0;5.0;38.0;44.0;0.0;149.0
keek;3.0;16.0;115.0;14.0;0.0;148.0
achter;95.0;8.0;21.0;23.0;0.0;147.0
want;9.0;0.0;63.0;69.0;5.0;146.0
alsof;20.0;0.0;98.0;27.0;0.0;145.0
echter;50.0;0.0;40.0;55.0;0.0;145.0
eerste;80.0;1.0;26.0;34.0;4.0;145.0
ziet;108.0;0.0;13.0;3.0;21.0;145.0
kijkt;144.0;0.0;1.0;0.0;0.0;145.0
zeker;96.0;1.0;32.0;15.0;1.0;145.0
gezien;81.0;3.0;17.0;42.0;0.0;143.0
norman;143.0;0.0;0.0;0.0;0.0;143.0
werden;20.0;3.0;37.0;81.0;1.0;142.0
lang;44.0;4.0;36.0;45.0;13.0;142.0
eerst;85.0;3.0;13.0;37.0;3.0;141.0
grote;87.0;9.0;45.0;0.0;0.0;141.0
heen;56.0;8.0;36.0;38.0;2.0;140.0
paar;103.0;2.0;5.0;28.0;1.0;139.0
moeten;83.0;5.0;47.0;4.0;0.0;139.0
gaf;11.0;1.0;42.0;84.0;0.0;138.0
deur;95.0;0.0;35.0;6.0;1.0;137.0
vroeg;31.0;4.0;63.0;37.0;1.0;136.0
marieke;132.0;0.0;0.0;0.0;0.0;132.0
drie;71.0;2.0;12.0;44.0;2.0;131.0
binnen;69.0;1.0;39.0;18.0;4.0;131.0
later;80.0;1.0;25.0;23.0;2.0;131.0
kapitein;;;;131.0;0.0;131.0
altijd;67.0;4.0;53.0;2.0;1.0;127.0
loopt;124.0;1.0;2.0;0.0;0.0;127.0
eiland;1.0;0.0;1.0;124.0;0.0;126.0
zit;110.0;0.0;14.0;1.0;1.0;126.0
laat;79.0;2.0;34.0;7.0;3.0;125.0
groot;37.0;0.0;17.0;68.0;3.0;125.0
zelfs;28.0;1.0;65.0;26.0;3.0;123.0
werk;77.0;0.0;29.0;13.0;4.0;123.0
staan;69.0;4.0;31.0;18.0;0.0;122.0
omdat;62.0;1.0;48.0;11.0;0.0;122.0
deed;23.0;4.0;63.0;24.0;8.0;122.0
elkaar;59.0;4.0;25.0;33.0;0.0;121.0
eigen;63.0;4.0;32.0;18.0;4.0;121.0
jongen;107.0;1.0;8.0;5.0;0.0;121.0
piet;120.0;0.0;0.0;0.0;0.0;120.0
voelde;15.0;5.0;86.0;14.0;0.0;120.0
zouden;29.0;2.0;57.0;29.0;3.0;120.0
nemen;49.0;4.0;32.0;35.0;0.0;120.0
mogelijk;50.0;2.0;43.0;22.0;1.0;118.0
nam;7.0;1.0;61.0;49.0;0.0;118.0
jules;;;117.0;0.0;0.0;117.0
laatste;57.0;0.0;38.0;15.0;7.0;117.0
daarom;64.0;1.0;17.0;33.0;2.0;117.0
natuurlijk;60.0;1.0;47.0;6.0;1.0;115.0
plaats;16.0;1.0;45.0;51.0;2.0;115.0
wist;35.0;5.0;52.0;21.0;2.0;115.0
gezicht;52.0;4.0;36.0;22.0;1.0;115.0
dood;62.0;2.0;22.0;23.0;6.0;115.0
