Palabra;Book 1;Book 2;Book 3;Book 4;Book 5;Suma Total
duur;1.0;0.0;1.0;3.0;1.0;6.0
opgesteld;1.0;0.0;0.0;5.0;0.0;6.0
instrumenten;1.0;0.0;1.0;4.0;0.0;6.0
bestuurders;6.0;0.0;0.0;0.0;0.0;6.0
aanzien;;;2.0;3.0;1.0;6.0
brug;3.0;0.0;0.0;3.0;0.0;6.0
missie;1.0;1.0;4.0;0.0;0.0;6.0
vergezellen;;;1.0;5.0;0.0;6.0
daad;1.0;0.0;1.0;4.0;0.0;6.0
beschrijven;3.0;0.0;0.0;3.0;0.0;6.0
verbaal;6.0;0.0;0.0;0.0;0.0;6.0
planken;3.0;0.0;0.0;3.0;0.0;6.0
naakt;2.0;1.0;1.0;2.0;0.0;6.0
hijzelf;;;1.0;5.0;0.0;6.0
jeetje;1.0;0.0;5.0;0.0;0.0;6.0
vermoedelijk;1.0;0.0;4.0;1.0;0.0;6.0
lieverd;;1.0;5.0;0.0;0.0;6.0
optreden;3.0;0.0;1.0;2.0;0.0;6.0
papieren;2.0;0.0;4.0;0.0;0.0;6.0
verzamelen;3.0;0.0;1.0;2.0;0.0;6.0
avonds;1.0;0.0;1.0;4.0;0.0;6.0
handig;3.0;0.0;1.0;2.0;0.0;6.0
biedt;3.0;0.0;0.0;0.0;3.0;6.0
sigaret;6.0;0.0;0.0;0.0;0.0;6.0
resultaten;3.0;0.0;3.0;0.0;0.0;6.0
crimineel;3.0;0.0;3.0;0.0;0.0;6.0
versie;3.0;0.0;3.0;0.0;0.0;6.0
ontboden;1.0;0.0;0.0;5.0;0.0;6.0
ruw;1.0;0.0;2.0;3.0;0.0;6.0
verwarring;3.0;0.0;1.0;2.0;0.0;6.0
lade;1.0;0.0;5.0;0.0;0.0;6.0
trillende;2.0;0.0;4.0;0.0;0.0;6.0
gekraak;2.0;0.0;0.0;4.0;0.0;6.0
kudde;;4.0;1.0;1.0;0.0;6.0
media;3.0;1.0;2.0;0.0;0.0;6.0
stemde;1.0;0.0;0.0;5.0;0.0;6.0
you;3.0;3.0;0.0;0.0;0.0;6.0
razernij;1.0;0.0;5.0;0.0;0.0;6.0
overhandigt;6.0;0.0;0.0;0.0;0.0;6.0
vrijen;;;1.0;5.0;0.0;6.0
reikte;;4.0;1.0;1.0;0.0;6.0
vage;3.0;1.0;2.0;0.0;0.0;6.0
graf;1.0;0.0;0.0;3.0;2.0;6.0
mijzelf;1.0;0.0;4.0;0.0;0.0;5.0
stoet;;;;5.0;0.0;5.0
toetsen;2.0;0.0;1.0;2.0;0.0;5.0
veeren;;;;5.0;0.0;5.0
vooraf;;;;5.0;0.0;5.0
aanschouwen;;;2.0;1.0;2.0;5.0
eindigen;1.0;1.0;1.0;2.0;0.0;5.0
drukken;1.0;0.0;1.0;2.0;1.0;5.0
idioot;2.0;0.0;3.0;0.0;0.0;5.0
george;;;2.0;3.0;0.0;5.0
oranje;;;;1.0;4.0;5.0
beweerd;;;3.0;2.0;0.0;5.0
dooden;;;;5.0;0.0;5.0
hangende;1.0;0.0;2.0;2.0;0.0;5.0
klei;1.0;0.0;3.0;1.0;0.0;5.0
geschiedde;;;;5.0;0.0;5.0
uitkijk;;;;5.0;0.0;5.0
oceaan;;;;5.0;0.0;5.0
noodige;;;;5.0;0.0;5.0
beantwoordde;;;2.0;3.0;0.0;5.0
bedekte;;;;5.0;0.0;5.0
aanleggen;1.0;0.0;0.0;4.0;0.0;5.0
vlekken;1.0;2.0;2.0;0.0;0.0;5.0
menschelijk;;;;5.0;0.0;5.0
begroeting;1.0;3.0;0.0;1.0;0.0;5.0
afrika;;;;5.0;0.0;5.0
gunstigen;;;;5.0;0.0;5.0
menschberg;;;;5.0;0.0;5.0
struiken;1.0;0.0;4.0;0.0;0.0;5.0
verzorgen;1.0;0.0;2.0;2.0;0.0;5.0
voordeed;;;2.0;3.0;0.0;5.0
overbrengen;;;;5.0;0.0;5.0
bewaken;;;;5.0;0.0;5.0
slaakte;;;4.0;0.0;1.0;5.0
winter;2.0;0.0;0.0;0.0;3.0;5.0
mantel;;;;5.0;0.0;5.0
eigenschap;1.0;0.0;4.0;0.0;0.0;5.0
bezit;2.0;1.0;0.0;0.0;2.0;5.0
gebruikelijke;2.0;0.0;2.0;1.0;0.0;5.0
éen;;;;;5.0;5.0
strijde;;;;;5.0;5.0
vaderlandsche;;;;;5.0;5.0
menschdom;;;;;5.0;5.0
woû;;;;;5.0;5.0
gewis;;;;;5.0;5.0
dappre;;;;;5.0;5.0
treedt;;;;;5.0;5.0
gebruikten;2.0;0.0;2.0;1.0;0.0;5.0
zaalge;;;;;5.0;5.0
afgaan;2.0;0.0;2.0;1.0;0.0;5.0
overlevenden;;;3.0;2.0;0.0;5.0
hoorden;2.0;0.0;0.0;3.0;0.0;5.0
gewekt;2.0;0.0;0.0;3.0;0.0;5.0
nederlanders;;;;;5.0;5.0
bezien;2.0;0.0;1.0;2.0;0.0;5.0
juichend;;;;;5.0;5.0
vlaanderen;;;;;5.0;5.0
droeve;;;;;5.0;5.0
heul;;;;;5.0;5.0
kindren;;;;;5.0;5.0
behooren;;;;;5.0;5.0
minnen;;;;;5.0;5.0
teedre;;;;;5.0;5.0
polens;;;;;5.0;5.0
loslaten;2.0;0.0;1.0;2.0;0.0;5.0
algoede;;;;;5.0;5.0
mogt;;;;;5.0;5.0
bloeijen;;;;;5.0;5.0
gegevens;2.0;0.0;2.0;1.0;0.0;5.0
reeks;2.0;0.0;1.0;0.0;2.0;5.0
dun;2.0;1.0;2.0;0.0;0.0;5.0
vervuld;2.0;1.0;0.0;1.0;1.0;5.0
oordeel;2.0;0.0;2.0;1.0;0.0;5.0
wijken;2.0;0.0;2.0;0.0;1.0;5.0
overeen;2.0;0.0;1.0;2.0;0.0;5.0
leuning;1.0;0.0;1.0;3.0;0.0;5.0
vatte;;;2.0;3.0;0.0;5.0
gezorgd;2.0;0.0;2.0;1.0;0.0;5.0
zilver;;;;5.0;0.0;5.0
logica;1.0;0.0;4.0;0.0;0.0;5.0
muis;;;2.0;3.0;0.0;5.0
gronde;;;;2.0;3.0;5.0
gekluisterd;;;2.0;0.0;3.0;5.0
apen;;;2.0;3.0;0.0;5.0
streelde;;;3.0;2.0;0.0;5.0
mochten;2.0;0.0;0.0;3.0;0.0;5.0
niettemin;1.0;0.0;4.0;0.0;0.0;5.0
zodanig;1.0;0.0;4.0;0.0;0.0;5.0
hiervan;;;2.0;3.0;0.0;5.0
schilderijen;2.0;0.0;2.0;1.0;0.0;5.0
lier;;;;;5.0;5.0
zing;;;;;5.0;5.0
grievend;;;;;5.0;5.0
zogenaamd;2.0;0.0;3.0;0.0;0.0;5.0
behulpzaam;;;;5.0;0.0;5.0
mededeeling;;;;5.0;0.0;5.0
reageerde;2.0;1.0;2.0;0.0;0.0;5.0
binnengaan;;;1.0;4.0;0.0;5.0
voorzichtigheid;1.0;0.0;0.0;4.0;0.0;5.0
proef;1.0;0.0;2.0;2.0;0.0;5.0
verzoeken;2.0;0.0;0.0;3.0;0.0;5.0
vergat;;;3.0;1.0;1.0;5.0
klamme;1.0;0.0;4.0;0.0;0.0;5.0
vijfhonderd;1.0;0.0;1.0;3.0;0.0;5.0
stralen;;;;3.0;2.0;5.0
pols;1.0;0.0;2.0;2.0;0.0;5.0
wenschen;;;;3.0;2.0;5.0
zwom;;;1.0;4.0;0.0;5.0
ouden;;;;3.0;2.0;5.0
boeg;;;1.0;4.0;0.0;5.0
st;;;;3.0;2.0;5.0
verklaard;;;1.0;4.0;0.0;5.0
tegenstelling;1.0;0.0;4.0;0.0;0.0;5.0
gemeen;1.0;0.0;4.0;0.0;0.0;5.0
kruin;1.0;0.0;3.0;0.0;1.0;5.0
lof;;;;2.0;3.0;5.0
toegestaan;1.0;0.0;1.0;3.0;0.0;5.0
doelloos;1.0;0.0;3.0;1.0;0.0;5.0
vasthouden;1.0;0.0;3.0;1.0;0.0;5.0
inzag;;;1.0;4.0;0.0;5.0
ongeduldig;1.0;1.0;2.0;1.0;0.0;5.0
onwillekeurig;2.0;1.0;2.0;0.0;0.0;5.0
trouwen;1.0;0.0;0.0;1.0;3.0;5.0
hartelijke;1.0;0.0;1.0;3.0;0.0;5.0
levens;;;1.0;0.0;4.0;5.0
staven;;;;2.0;3.0;5.0
ademhalen;1.0;0.0;4.0;0.0;0.0;5.0
overhandigen;2.0;0.0;1.0;2.0;0.0;5.0
smeekend;;;;3.0;2.0;5.0
geleidelijk;;;1.0;4.0;0.0;5.0
binnengekomen;1.0;0.0;1.0;3.0;0.0;5.0
voorgevallen;1.0;0.0;2.0;1.0;1.0;5.0
terras;1.0;0.0;0.0;4.0;0.0;5.0
dubbele;1.0;0.0;2.0;2.0;0.0;5.0
vruchten;2.0;0.0;0.0;3.0;0.0;5.0
verhief;;;1.0;2.0;2.0;5.0
fascinerend;1.0;0.0;4.0;0.0;0.0;5.0
bezetene;2.0;0.0;3.0;0.0;0.0;5.0
ontwikkeling;2.0;0.0;2.0;1.0;0.0;5.0
feest;1.0;0.0;1.0;1.0;2.0;5.0
typische;1.0;0.0;4.0;0.0;0.0;5.0
velden;;;1.0;1.0;3.0;5.0
dronk;1.0;0.0;3.0;1.0;0.0;5.0
meubels;;;1.0;4.0;0.0;5.0
chinees;;;1.0;4.0;0.0;5.0
trede;;;1.0;4.0;0.0;5.0
lieflijk;;;1.0;0.0;4.0;5.0
werking;;;3.0;1.0;1.0;5.0
klagen;2.0;0.0;1.0;0.0;2.0;5.0
kleinere;1.0;1.0;1.0;2.0;0.0;5.0
ontvluchten;;;1.0;4.0;0.0;5.0
nerveus;1.0;0.0;4.0;0.0;0.0;5.0
gewild;1.0;0.0;4.0;0.0;0.0;5.0
ondervonden;;;1.0;4.0;0.0;5.0
for;1.0;3.0;1.0;0.0;0.0;5.0
streven;;;1.0;0.0;4.0;5.0
nat;1.0;2.0;0.0;0.0;2.0;5.0
verwoesting;;;1.0;0.0;4.0;5.0
gelukkige;1.0;0.0;1.0;3.0;0.0;5.0
aangegeven;1.0;0.0;1.0;3.0;0.0;5.0
pool;;;;3.0;2.0;5.0
vanwaar;1.0;0.0;0.0;4.0;0.0;5.0
poos;;;1.0;4.0;0.0;5.0
gedoemd;2.0;0.0;3.0;0.0;0.0;5.0
verzekering;1.0;0.0;0.0;4.0;0.0;5.0
smeeken;;;;3.0;2.0;5.0
ontwikkelen;1.0;1.0;3.0;0.0;0.0;5.0
rijkelijk;1.0;0.0;0.0;4.0;0.0;5.0
bediende;;;;5.0;0.0;5.0
stuurde;1.0;1.0;0.0;3.0;0.0;5.0
mild;1.0;0.0;0.0;1.0;3.0;5.0
vensters;;;;5.0;0.0;5.0
hofdwerg;;;;5.0;0.0;5.0
vogeleieren;;;;5.0;0.0;5.0
vriendinnen;;;4.0;0.0;1.0;5.0
redriff;;;;5.0;0.0;5.0
degen;;;;5.0;0.0;5.0
werven;;;;5.0;0.0;5.0
grot;;;;5.0;0.0;5.0
snijden;1.0;0.0;3.0;1.0;0.0;5.0
begeven;;;;5.0;0.0;5.0
ontdekten;2.0;0.0;0.0;3.0;0.0;5.0
opgericht;2.0;0.0;0.0;2.0;1.0;5.0
vork;;;4.0;1.0;0.0;5.0
verstaanbaar;;;;5.0;0.0;5.0
ketting;1.0;1.0;0.0;3.0;0.0;5.0
aandachtig;;;4.0;0.0;1.0;5.0
mededeelen;;;;5.0;0.0;5.0
wagens;;;4.0;1.0;0.0;5.0
vreeselijke;;;;5.0;0.0;5.0
bevrijd;2.0;0.0;0.0;3.0;0.0;5.0
messen;;;4.0;1.0;0.0;5.0
namiddag;;;;5.0;0.0;5.0
zuidwestelijke;;;;5.0;0.0;5.0
stiet;;;;5.0;0.0;5.0
geheschen;;;;5.0;0.0;5.0
deugd;;;;1.0;4.0;5.0
masten;;;;5.0;0.0;5.0
baai;;;;5.0;0.0;5.0
simpelweg;1.0;1.0;3.0;0.0;0.0;5.0
ontkomen;;;;5.0;0.0;5.0
dienaren;;;;5.0;0.0;5.0
astronomen;;;;5.0;0.0;5.0
munodi;;;;5.0;0.0;5.0
eindelooze;;;;1.0;4.0;5.0
majesteit;;;;4.0;1.0;5.0
respect;2.0;0.0;3.0;0.0;0.0;5.0
wandelingen;1.0;0.0;0.0;4.0;0.0;5.0
analyseren;1.0;1.0;3.0;0.0;0.0;5.0
beschrijft;1.0;0.0;0.0;4.0;0.0;5.0
laatsten;;;;4.0;1.0;5.0
wenk;;;;4.0;1.0;5.0
loods;;;;5.0;0.0;5.0
noodzakelijk;1.0;1.0;1.0;2.0;0.0;5.0
oppervlakte;1.0;0.0;0.0;4.0;0.0;5.0
beveiliging;1.0;0.0;4.0;0.0;0.0;5.0
moeiteloos;1.0;0.0;4.0;0.0;0.0;5.0
lofzang;1.0;0.0;0.0;0.0;4.0;5.0
bedrijfsleven;1.0;0.0;4.0;0.0;0.0;5.0
duizenden;;;;4.0;1.0;5.0
tegenwoordigheid;1.0;0.0;0.0;4.0;0.0;5.0
ontmoette;;;3.0;2.0;0.0;5.0
vreeselijk;;;;4.0;1.0;5.0
donder;;;;4.0;1.0;5.0
durven;;;2.0;3.0;0.0;5.0
douche;1.0;0.0;4.0;0.0;0.0;5.0
as;1.0;0.0;2.0;2.0;0.0;5.0
trotsch;;;;4.0;1.0;5.0
bereikte;1.0;1.0;0.0;3.0;0.0;5.0
monatamia;;;;5.0;0.0;5.0
kampement;;;;5.0;0.0;5.0
barkas;;;;5.0;0.0;5.0
kostbaar;;;;2.0;3.0;5.0
laf;;;3.0;1.0;1.0;5.0
tapijt;2.0;0.0;3.0;0.0;0.0;5.0
kaapstad;;;;5.0;0.0;5.0
aller;;;;3.0;2.0;5.0
beslissingen;5.0;0.0;0.0;0.0;0.0;5.0
inzien;4.0;0.0;1.0;0.0;0.0;5.0
privédetective;5.0;0.0;0.0;0.0;0.0;5.0
stekende;5.0;0.0;0.0;0.0;0.0;5.0
vertrekt;5.0;0.0;0.0;0.0;0.0;5.0
denkbaar;5.0;0.0;0.0;0.0;0.0;5.0
vervelen;2.0;0.0;1.0;2.0;0.0;5.0
bezwaren;2.0;0.0;1.0;2.0;0.0;5.0
ingetrokken;4.0;0.0;0.0;1.0;0.0;5.0
knallen;3.0;0.0;1.0;0.0;1.0;5.0
gilde;;2.0;3.0;0.0;0.0;5.0
fantastische;1.0;0.0;3.0;1.0;0.0;5.0
economie;5.0;0.0;0.0;0.0;0.0;5.0
spoorloos;4.0;0.0;0.0;1.0;0.0;5.0
messteek;3.0;1.0;1.0;0.0;0.0;5.0
gerechten;1.0;0.0;2.0;2.0;0.0;5.0
gewaarschuwd;3.0;0.0;2.0;0.0;0.0;5.0
kern;4.0;0.0;1.0;0.0;0.0;5.0
ernst;4.0;0.0;1.0;0.0;0.0;5.0
masker;2.0;0.0;3.0;0.0;0.0;5.0
onttrekken;5.0;0.0;0.0;0.0;0.0;5.0
handelt;4.0;0.0;1.0;0.0;0.0;5.0
vertaalde;;2.0;3.0;0.0;0.0;5.0
gooide;;2.0;3.0;0.0;0.0;5.0
daarentegen;3.0;0.0;0.0;2.0;0.0;5.0
afgelegd;1.0;0.0;0.0;4.0;0.0;5.0
opgestaan;4.0;0.0;1.0;0.0;0.0;5.0
terrein;5.0;0.0;0.0;0.0;0.0;5.0
wetenschapper;;1.0;4.0;0.0;0.0;5.0
jongetje;;1.0;4.0;0.0;0.0;5.0
uiteen;4.0;0.0;1.0;0.0;0.0;5.0
lint;5.0;0.0;0.0;0.0;0.0;5.0
vellen;2.0;0.0;1.0;2.0;0.0;5.0
kou;3.0;0.0;2.0;0.0;0.0;5.0
afhankelijk;3.0;0.0;1.0;1.0;0.0;5.0
terugkomen;3.0;1.0;0.0;1.0;0.0;5.0
initiatief;5.0;0.0;0.0;0.0;0.0;5.0
bekenden;4.0;0.0;0.0;1.0;0.0;5.0
zelfde;5.0;0.0;0.0;0.0;0.0;5.0
markt;5.0;0.0;0.0;0.0;0.0;5.0
zuur;4.0;0.0;1.0;0.0;0.0;5.0
arts;5.0;0.0;0.0;0.0;0.0;5.0
draagt;2.0;0.0;1.0;0.0;2.0;5.0
betreden;2.0;0.0;1.0;2.0;0.0;5.0
vochtige;;1.0;4.0;0.0;0.0;5.0
dekens;1.0;0.0;2.0;2.0;0.0;5.0
gunstige;2.0;0.0;0.0;3.0;0.0;5.0
liggende;2.0;0.0;0.0;3.0;0.0;5.0
krachtige;2.0;0.0;1.0;2.0;0.0;5.0
stuurt;4.0;0.0;1.0;0.0;0.0;5.0
explosieven;5.0;0.0;0.0;0.0;0.0;5.0
heilig;2.0;0.0;0.0;2.0;1.0;5.0
wringt;4.0;0.0;0.0;0.0;1.0;5.0
veronderstelling;4.0;0.0;1.0;0.0;0.0;5.0
bleke;4.0;0.0;1.0;0.0;0.0;5.0
operatie;4.0;0.0;1.0;0.0;0.0;5.0
gegooid;4.0;0.0;1.0;0.0;0.0;5.0
verstopt;4.0;0.0;0.0;1.0;0.0;5.0
groepje;;;5.0;0.0;0.0;5.0
volledige;4.0;0.0;0.0;1.0;0.0;5.0
goedenavond;3.0;0.0;2.0;0.0;0.0;5.0
gemene;;;5.0;0.0;0.0;5.0
oudere;;;5.0;0.0;0.0;5.0
zelfverzekerd;4.0;0.0;1.0;0.0;0.0;5.0
geholpen;4.0;0.0;0.0;0.0;1.0;5.0
uitgang;4.0;0.0;0.0;1.0;0.0;5.0
concentreren;;;5.0;0.0;0.0;5.0
sommigen;;;5.0;0.0;0.0;5.0
voetbal;5.0;0.0;0.0;0.0;0.0;5.0
urenlang;2.0;0.0;2.0;1.0;0.0;5.0
raar;4.0;0.0;1.0;0.0;0.0;5.0
fred;;;5.0;0.0;0.0;5.0
rimpels;3.0;1.0;1.0;0.0;0.0;5.0
anderzijds;;;5.0;0.0;0.0;5.0
cruciale;4.0;0.0;1.0;0.0;0.0;5.0
groet;2.0;0.0;0.0;2.0;1.0;5.0
bergen;1.0;0.0;0.0;4.0;0.0;5.0
move;5.0;0.0;0.0;0.0;0.0;5.0
darmen;;;5.0;0.0;0.0;5.0
veiligheidsagenten;;;5.0;0.0;0.0;5.0
knipoogde;;;5.0;0.0;0.0;5.0
spoorde;;;5.0;0.0;0.0;5.0
schikken;1.0;0.0;1.0;2.0;1.0;5.0
geobserveerd;4.0;0.0;1.0;0.0;0.0;5.0
onderlip;;;5.0;0.0;0.0;5.0
knie;4.0;0.0;0.0;1.0;0.0;5.0
serie;4.0;0.0;1.0;0.0;0.0;5.0
verbonden;1.0;0.0;0.0;4.0;0.0;5.0
bemachtigen;2.0;2.0;1.0;0.0;0.0;5.0
schaar;4.0;0.0;0.0;1.0;0.0;5.0
negeert;5.0;0.0;0.0;0.0;0.0;5.0
fractie;5.0;0.0;0.0;0.0;0.0;5.0
schroom;5.0;0.0;0.0;0.0;0.0;5.0
ruimen;3.0;0.0;1.0;1.0;0.0;5.0
wreef;;;5.0;0.0;0.0;5.0
kleiner;4.0;0.0;0.0;1.0;0.0;5.0
stemmetje;;;5.0;0.0;0.0;5.0
betrapt;4.0;0.0;1.0;0.0;0.0;5.0
scenario;4.0;0.0;1.0;0.0;0.0;5.0
onschuld;2.0;0.0;3.0;0.0;0.0;5.0
verstandige;2.0;0.0;1.0;2.0;0.0;5.0
londen;4.0;0.0;1.0;0.0;0.0;5.0
klonken;;1.0;0.0;4.0;0.0;5.0
plaatsgevonden;1.0;0.0;4.0;0.0;0.0;5.0
opleveren;5.0;0.0;0.0;0.0;0.0;5.0
instinct;2.0;0.0;3.0;0.0;0.0;5.0
rauw;2.0;0.0;2.0;1.0;0.0;5.0
erachter;5.0;0.0;0.0;0.0;0.0;5.0
herkend;1.0;1.0;2.0;1.0;0.0;5.0
realiteit;1.0;0.0;4.0;0.0;0.0;5.0
soldaat;3.0;0.0;0.0;0.0;2.0;5.0
verbreken;1.0;0.0;0.0;3.0;1.0;5.0
omhelsde;;1.0;2.0;1.0;1.0;5.0
zeilschip;1.0;0.0;0.0;4.0;0.0;5.0
beëindigen;3.0;0.0;2.0;0.0;0.0;5.0
flarden;3.0;0.0;0.0;1.0;1.0;5.0
langzamer;1.0;0.0;3.0;1.0;0.0;5.0
geruchten;3.0;0.0;2.0;0.0;0.0;5.0
merk;3.0;0.0;1.0;0.0;1.0;5.0
doodstil;1.0;2.0;1.0;1.0;0.0;5.0
jaloezie;2.0;0.0;3.0;0.0;0.0;5.0
zeiden;5.0;0.0;0.0;0.0;0.0;5.0
kamers;2.0;0.0;1.0;2.0;0.0;5.0
betekenis;5.0;0.0;0.0;0.0;0.0;5.0
gegund;3.0;0.0;1.0;1.0;0.0;5.0
gelokt;3.0;0.0;2.0;0.0;0.0;5.0
slikt;5.0;0.0;0.0;0.0;0.0;5.0
behoort;5.0;0.0;0.0;0.0;0.0;5.0
slaapt;3.0;0.0;1.0;0.0;1.0;5.0
slechter;3.0;0.0;2.0;0.0;0.0;5.0
daarheen;1.0;0.0;0.0;4.0;0.0;5.0
afnemen;3.0;0.0;0.0;2.0;0.0;5.0
rilling;3.0;0.0;1.0;1.0;0.0;5.0
allang;3.0;0.0;1.0;1.0;0.0;5.0
vlek;3.0;0.0;2.0;0.0;0.0;5.0
toegang;3.0;0.0;0.0;2.0;0.0;5.0
lezer;3.0;1.0;0.0;0.0;1.0;5.0
bouwkunde;5.0;0.0;0.0;0.0;0.0;5.0
zesde;3.0;0.0;1.0;1.0;0.0;5.0
miste;1.0;0.0;4.0;0.0;0.0;5.0
verloopt;3.0;0.0;2.0;0.0;0.0;5.0
fusie;5.0;0.0;0.0;0.0;0.0;5.0
voorgesteld;3.0;0.0;0.0;2.0;0.0;5.0
negatieve;3.0;0.0;2.0;0.0;0.0;5.0
display;2.0;0.0;3.0;0.0;0.0;5.0
opbrengen;3.0;0.0;2.0;0.0;0.0;5.0
voorbestemd;;1.0;4.0;0.0;0.0;5.0
toenemen;1.0;0.0;2.0;2.0;0.0;5.0
onderzocht;4.0;1.0;0.0;0.0;0.0;5.0
vrijwillig;1.0;0.0;0.0;4.0;0.0;5.0
fc;5.0;0.0;0.0;0.0;0.0;5.0
uitgevoerd;3.0;0.0;1.0;1.0;0.0;5.0
intelligent;3.0;0.0;2.0;0.0;0.0;5.0
betere;3.0;0.0;1.0;1.0;0.0;5.0
steden;1.0;0.0;0.0;4.0;0.0;5.0
geel;3.0;1.0;0.0;1.0;0.0;5.0
manege;5.0;0.0;0.0;0.0;0.0;5.0
armagh;5.0;0.0;0.0;0.0;0.0;5.0
verraadt;5.0;0.0;0.0;0.0;0.0;5.0
jenneke;5.0;0.0;0.0;0.0;0.0;5.0
kruiden;;1.0;0.0;4.0;0.0;5.0
wegrijdt;5.0;0.0;0.0;0.0;0.0;5.0
arrogante;5.0;0.0;0.0;0.0;0.0;5.0
leefden;;1.0;0.0;3.0;1.0;5.0
overgeven;3.0;0.0;0.0;2.0;0.0;5.0
verbazingwekkend;3.0;0.0;2.0;0.0;0.0;5.0
aanklacht;4.0;0.0;0.0;1.0;0.0;5.0
misselijk;2.0;0.0;3.0;0.0;0.0;5.0
beperkte;1.0;1.0;2.0;1.0;0.0;5.0
bereiden;3.0;0.0;2.0;0.0;0.0;5.0
openbaar;3.0;0.0;2.0;0.0;0.0;5.0
voornemen;2.0;0.0;0.0;3.0;0.0;5.0
verdronken;1.0;0.0;0.0;4.0;0.0;5.0
tweehonderd;3.0;0.0;0.0;2.0;0.0;5.0
corps;4.0;0.0;0.0;1.0;0.0;5.0
aflopen;3.0;0.0;2.0;0.0;0.0;5.0
gretig;3.0;0.0;2.0;0.0;0.0;5.0
sindsdien;4.0;0.0;1.0;0.0;0.0;5.0
flits;3.0;0.0;2.0;0.0;0.0;5.0
kamp;1.0;0.0;0.0;3.0;1.0;5.0
recherche;5.0;0.0;0.0;0.0;0.0;5.0
overtuigend;5.0;0.0;0.0;0.0;0.0;5.0
brok;3.0;1.0;0.0;1.0;0.0;5.0
bek;1.0;0.0;3.0;1.0;0.0;5.0
ritueel;;1.0;4.0;0.0;0.0;5.0
bordes;5.0;0.0;0.0;0.0;0.0;5.0
aannemen;1.0;0.0;0.0;4.0;0.0;5.0
dichtst;1.0;1.0;2.0;1.0;0.0;5.0
aangevallen;3.0;0.0;1.0;1.0;0.0;5.0
onmiskenbaar;5.0;0.0;0.0;0.0;0.0;5.0
duidelijke;3.0;0.0;1.0;1.0;0.0;5.0
wijsvinger;2.0;0.0;3.0;0.0;0.0;5.0
aanwijzing;3.0;0.0;2.0;0.0;0.0;5.0
plekken;5.0;0.0;0.0;0.0;0.0;5.0
gezichtsuitdrukking;3.0;0.0;2.0;0.0;0.0;5.0
renault;5.0;0.0;0.0;0.0;0.0;5.0
tegenzin;;;5.0;0.0;0.0;5.0
achtereen;3.0;0.0;1.0;1.0;0.0;5.0
advies;4.0;0.0;0.0;1.0;0.0;5.0
godsnaam;4.0;0.0;1.0;0.0;0.0;5.0
financiële;4.0;0.0;1.0;0.0;0.0;5.0
opbouwen;4.0;0.0;1.0;0.0;0.0;5.0
wereldoorlog;;;5.0;0.0;0.0;5.0
lokale;5.0;0.0;0.0;0.0;0.0;5.0
ervin;;;5.0;0.0;0.0;5.0
aangename;2.0;0.0;1.0;2.0;0.0;5.0
vlieg;3.0;0.0;1.0;1.0;0.0;5.0
bedoeling;2.0;0.0;2.0;1.0;0.0;5.0
achterdeur;5.0;0.0;0.0;0.0;0.0;5.0
wandelt;4.0;0.0;0.0;0.0;1.0;5.0
alsnog;3.0;0.0;2.0;0.0;0.0;5.0
verwoed;1.0;0.0;4.0;0.0;0.0;5.0
wc;5.0;0.0;0.0;0.0;0.0;5.0
frans;5.0;0.0;0.0;0.0;0.0;5.0
heksen;;;5.0;0.0;0.0;5.0
nachtmerrie;3.0;0.0;2.0;0.0;0.0;5.0
pruik;5.0;0.0;0.0;0.0;0.0;5.0
nagaan;1.0;0.0;2.0;2.0;0.0;5.0
leugens;;;5.0;0.0;0.0;5.0
fluistert;5.0;0.0;0.0;0.0;0.0;5.0
elektrodenkap;;;5.0;0.0;0.0;5.0
luchtwagen;;;5.0;0.0;0.0;5.0
beland;4.0;0.0;1.0;0.0;0.0;5.0
overziet;4.0;0.0;1.0;0.0;0.0;5.0
zijkant;4.0;1.0;0.0;0.0;0.0;5.0
name;5.0;0.0;0.0;0.0;0.0;5.0
desnoods;2.0;0.0;2.0;1.0;0.0;5.0
halverwege;5.0;0.0;0.0;0.0;0.0;5.0
atoombommen;;;5.0;0.0;0.0;5.0
holde;;;5.0;0.0;0.0;5.0
ondernomen;2.0;1.0;1.0;1.0;0.0;5.0
essentie;4.0;0.0;1.0;0.0;0.0;5.0
vermoed;3.0;0.0;2.0;0.0;0.0;5.0
band;4.0;0.0;0.0;0.0;1.0;5.0
tachtig;3.0;0.0;1.0;0.0;1.0;5.0
apparaat;;;5.0;0.0;0.0;5.0
gevoerd;4.0;0.0;1.0;0.0;0.0;5.0
ploertendoder;;;5.0;0.0;0.0;5.0
achterkant;4.0;0.0;1.0;0.0;0.0;5.0
buitenstaander;5.0;0.0;0.0;0.0;0.0;5.0
bestaande;1.0;0.0;3.0;1.0;0.0;5.0
frankrijk;4.0;0.0;1.0;0.0;0.0;5.0
doorbrengen;3.0;0.0;1.0;1.0;0.0;5.0
luiken;3.0;0.0;0.0;2.0;0.0;5.0
blikje;4.0;0.0;1.0;0.0;0.0;5.0
doods;;;4.0;1.0;0.0;5.0
mijnheer;;;4.0;0.0;1.0;5.0
actief;4.0;0.0;1.0;0.0;0.0;5.0
gips;5.0;0.0;0.0;0.0;0.0;5.0
verbaast;4.0;0.0;1.0;0.0;0.0;5.0
gebaar;;;4.0;1.0;0.0;5.0
moordzaak;5.0;0.0;0.0;0.0;0.0;5.0
