Palabra;Categoría Gramatical;Oxford3000;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice;Suma Total
forever;adverb;b1;b1;2.0;19.0;15.0;16.0;5.0;6.0;5.0;4.0;7.0;10.0;10.0;9.0;2.0;3.0;111.0
scene;noun;a2;a2;1.0;6.0;1.0;4.0;1.0;14.0;2.0;11.0;9.0;13.0;26.0;8.0;0.0;16.0;111.0
dementor;;;;;0.0;;;;2.0;75.0;6.0;18.0;7.0;3.0;0.0;0.0;0.0;111.0
urged;;;;;27.0;20.0;33.0;2.0;2.0;6.0;1.0;4.0;2.0;1.0;7.0;0.0;6.0;111.0
raising;;;;;4.0;9.0;8.0;3.0;6.0;4.0;7.0;26.0;15.0;13.0;13.0;0.0;3.0;111.0
pack;noun;b1;b1;2.0;7.0;22.0;36.0;6.0;6.0;2.0;7.0;5.0;7.0;4.0;7.0;0.0;2.0;111.0
purpose;noun;a2;a2;1.0;4.0;17.0;24.0;5.0;3.0;3.0;8.0;4.0;3.0;9.0;12.0;1.0;18.0;111.0
thousands;;;;;18.0;31.0;35.0;7.0;1.0;1.0;7.0;1.0;2.0;4.0;4.0;0.0;0.0;111.0
champions;;;;;4.0;2.0;9.0;0.0;0.0;0.0;96.0;0.0;0.0;0.0;0.0;0.0;0.0;111.0
disappointed;adjective;b1;b1;2.0;6.0;5.0;6.0;1.0;5.0;6.0;10.0;11.0;15.0;10.0;23.0;1.0;12.0;111.0
brain;noun;a2;a2;1.0;0.0;2.0;1.0;3.0;6.0;7.0;12.0;44.0;14.0;14.0;6.0;0.0;2.0;111.0
excited;adjective;a1;a1;1.0;8.0;3.0;3.0;4.0;9.0;10.0;22.0;4.0;11.0;14.0;12.0;1.0;10.0;111.0
locket;;;;;0.0;;;;;;;1.0;26.0;84.0;0.0;0.0;0.0;111.0
wrist;noun;-1;b2;2.0;21.0;18.0;22.0;6.0;3.0;4.0;4.0;8.0;3.0;9.0;11.0;2.0;0.0;111.0
appearance;noun;a2;a2;1.0;0.0;3.0;3.0;2.0;1.0;2.0;14.0;14.0;13.0;19.0;10.0;0.0;30.0;111.0
joke;noun;a2;a2;1.0;4.0;2.0;2.0;7.0;6.0;12.0;15.0;25.0;15.0;6.0;13.0;1.0;3.0;111.0
shake;noun;b1;b1;2.0;13.0;10.0;19.0;8.0;5.0;6.0;3.0;9.0;8.0;11.0;17.0;0.0;2.0;111.0
dirt;noun;b1;b1;2.0;25.0;24.0;15.0;1.0;0.0;0.0;0.0;4.0;7.0;3.0;27.0;2.0;2.0;110.0
charlie;;;;;0.0;;;23.0;4.0;1.0;58.0;5.0;4.0;15.0;0.0;0.0;0.0;110.0
easier;;;;;15.0;10.0;23.0;3.0;1.0;1.0;5.0;14.0;5.0;13.0;19.0;1.0;0.0;110.0
gazed;;;;;6.0;20.0;19.0;1.0;5.0;3.0;3.0;21.0;11.0;21.0;0.0;0.0;0.0;110.0
kingsroad;;;;;54.0;19.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.0
commands;;;;;33.0;36.0;38.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;110.0
warmth;;;;;16.0;16.0;34.0;5.0;2.0;1.0;2.0;2.0;7.0;4.0;13.0;0.0;8.0;110.0
silently;;;;;21.0;8.0;10.0;7.0;6.0;9.0;9.0;6.0;7.0;10.0;14.0;0.0;3.0;110.0
stolen;;;;;16.0;7.0;27.0;3.0;1.0;1.0;5.0;8.0;8.0;20.0;11.0;3.0;0.0;110.0
beginning;noun;a1;a1;1.0;12.0;5.0;9.0;1.0;1.0;0.0;11.0;7.0;2.0;5.0;43.0;2.0;12.0;110.0
panic;noun;-1;b2;2.0;5.0;4.0;5.0;5.0;7.0;9.0;18.0;14.0;10.0;16.0;14.0;3.0;0.0;110.0
cursed;;;;;21.0;26.0;25.0;4.0;4.0;0.0;1.0;2.0;12.0;7.0;8.0;0.0;0.0;110.0
position;noun;a2;a2;1.0;10.0;5.0;3.0;0.0;3.0;5.0;14.0;24.0;20.0;16.0;9.0;0.0;1.0;110.0
terms;noun;-1;b2;2.0;3.0;28.0;20.0;1.0;0.0;1.0;7.0;5.0;3.0;1.0;19.0;0.0;22.0;110.0
scattered;adjective;-1;c1;3.0;18.0;13.0;14.0;0.0;2.0;3.0;4.0;5.0;1.0;11.0;29.0;7.0;2.0;109.0
yesterday;adverb;a1;a1;1.0;10.0;5.0;19.0;7.0;5.0;6.0;8.0;7.0;3.0;5.0;19.0;2.0;13.0;109.0
poison;noun;b1;b1;2.0;18.0;18.0;25.0;3.0;3.0;2.0;4.0;7.0;15.0;3.0;11.0;0.0;0.0;109.0
stuffed;;;;;7.0;12.0;17.0;3.0;6.0;10.0;11.0;11.0;7.0;8.0;11.0;6.0;0.0;109.0
katie;;;;;0.0;;;1.0;2.0;16.0;1.0;33.0;54.0;1.0;1.0;0.0;0.0;109.0
waist;;;;;22.0;21.0;28.0;3.0;1.0;2.0;9.0;7.0;2.0;7.0;7.0;0.0;0.0;109.0
smaller;;;;;9.0;18.0;29.0;3.0;1.0;2.0;10.0;4.0;3.0;14.0;14.0;2.0;0.0;109.0
birthday;noun;a1;a1;1.0;0.0;0.0;0.0;14.0;18.0;16.0;10.0;4.0;28.0;18.0;1.0;0.0;0.0;109.0
spider;noun;a2;a2;1.0;10.0;9.0;10.0;1.0;11.0;7.0;36.0;2.0;10.0;10.0;3.0;0.0;0.0;109.0
eggs;;;;;29.0;13.0;11.0;5.0;6.0;1.0;18.0;12.0;6.0;3.0;4.0;1.0;0.0;109.0
prime;adjective;b2;b2;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;96.0;3.0;3.0;0.0;0.0;109.0
excitement;noun;b1;b1;2.0;4.0;2.0;2.0;5.0;7.0;8.0;20.0;20.0;12.0;15.0;9.0;5.0;0.0;109.0
overhead;;;;;15.0;17.0;10.0;6.0;10.0;5.0;9.0;11.0;7.0;13.0;5.0;1.0;0.0;109.0
searching;;;;;14.0;16.0;11.0;1.0;4.0;5.0;12.0;2.0;7.0;14.0;20.0;2.0;1.0;109.0
account;noun;b1;b1;2.0;6.0;14.0;13.0;1.0;1.0;2.0;3.0;11.0;4.0;6.0;10.0;0.0;38.0;109.0
vale;;;;;58.0;10.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109.0
apple;noun;a1;a1;1.0;9.0;18.0;23.0;1.0;0.0;1.0;2.0;5.0;1.0;4.0;42.0;3.0;0.0;109.0
beaming;;;;;0.0;1.0;2.0;5.0;7.0;10.0;24.0;34.0;12.0;14.0;0.0;0.0;0.0;109.0
sounding;;;;;3.0;5.0;2.0;7.0;4.0;7.0;8.0;36.0;16.0;8.0;13.0;0.0;0.0;109.0
coldly;;;;;10.0;3.0;7.0;4.0;8.0;6.0;17.0;24.0;16.0;11.0;1.0;0.0;2.0;109.0
diary;noun;a2;a2;1.0;0.0;0.0;0.0;0.0;67.0;0.0;1.0;10.0;19.0;12.0;0.0;0.0;0.0;109.0
danced;;;;;18.0;16.0;20.0;0.0;0.0;0.0;2.0;1.0;1.0;5.0;28.0;6.0;12.0;109.0
shaped;adjective;-1;b2;2.0;11.0;15.0;19.0;4.0;3.0;2.0;9.0;20.0;5.0;4.0;16.0;1.0;0.0;109.0
desire;noun;b2;b2;2.0;3.0;8.0;8.0;2.0;0.0;3.0;7.0;10.0;9.0;15.0;14.0;6.0;23.0;108.0
continue;verb;a2;a2;1.0;5.0;7.0;12.0;2.0;0.0;1.0;7.0;20.0;19.0;14.0;12.0;0.0;9.0;108.0
invisible;adjective;-1;c1;3.0;4.0;0.0;1.0;10.0;7.0;6.0;13.0;18.0;17.0;27.0;4.0;1.0;0.0;108.0
lights;;;;;8.0;7.0;12.0;5.0;1.0;9.0;11.0;17.0;2.0;22.0;12.0;2.0;0.0;108.0
corridors;;;;;0.0;;;10.0;14.0;10.0;13.0;33.0;18.0;9.0;1.0;0.0;0.0;108.0
bathroom;noun;a1;a1;1.0;0.0;0.0;0.0;5.0;36.0;2.0;19.0;3.0;32.0;11.0;0.0;0.0;0.0;108.0
steady;adjective;b2;b2;2.0;12.0;12.0;23.0;2.0;4.0;3.0;4.0;5.0;7.0;8.0;12.0;4.0;12.0;108.0
dull;adjective;-1;b2;2.0;3.0;9.0;5.0;2.0;10.0;2.0;10.0;20.0;7.0;6.0;27.0;3.0;4.0;108.0
madame;;;;;0.0;;;;;;94.0;5.0;1.0;8.0;0.0;0.0;0.0;108.0
definitely;adverb;a2;a2;1.0;1.0;0.0;4.0;3.0;8.0;13.0;23.0;20.0;22.0;12.0;2.0;0.0;0.0;108.0
tully;;;;;31.0;23.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0
forty;number;a1;a1;1.0;20.0;15.0;26.0;2.0;4.0;4.0;5.0;4.0;2.0;0.0;25.0;0.0;1.0;108.0
blank;adjective;a2;a2;1.0;3.0;6.0;9.0;2.0;4.0;6.0;12.0;28.0;17.0;8.0;13.0;0.0;0.0;108.0
ghosts;;;;;11.0;32.0;20.0;6.0;7.0;6.0;3.0;7.0;5.0;7.0;4.0;0.0;0.0;108.0
greatest;;;;;6.0;9.0;17.0;5.0;10.0;2.0;4.0;7.0;7.0;11.0;9.0;0.0;20.0;107.0
takes;;;;;15.0;19.0;19.0;1.0;1.0;2.0;9.0;11.0;3.0;4.0;17.0;0.0;6.0;107.0
shared;;;;;28.0;20.0;27.0;2.0;0.0;0.0;4.0;3.0;3.0;6.0;10.0;0.0;4.0;107.0
happens;;;;;10.0;23.0;19.0;5.0;0.0;4.0;3.0;9.0;12.0;6.0;12.0;0.0;4.0;107.0
pure;adjective;b2;b2;2.0;8.0;5.0;11.0;3.0;8.0;1.0;10.0;5.0;19.0;14.0;17.0;4.0;2.0;107.0
lunch;noun;a1;a1;1.0;1.0;0.0;0.0;3.0;4.0;15.0;17.0;28.0;14.0;1.0;24.0;0.0;0.0;107.0
dorne;;;;;15.0;22.0;70.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;107.0
roar;;;;;10.0;15.0;12.0;3.0;4.0;6.0;11.0;12.0;5.0;17.0;11.0;1.0;0.0;107.0
setting;noun;b1;b1;2.0;11.0;9.0;9.0;3.0;8.0;4.0;7.0;12.0;12.0;5.0;16.0;9.0;2.0;107.0
wrenched;;;;;24.0;14.0;18.0;3.0;5.0;3.0;3.0;15.0;10.0;10.0;2.0;0.0;0.0;107.0
traitor;;;;;26.0;29.0;34.0;0.0;0.0;3.0;0.0;7.0;3.0;5.0;0.0;0.0;0.0;107.0
halfhand;;;;;2.0;48.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;107.0
detention;noun;-1;c1;3.0;0.0;0.0;0.0;5.0;8.0;8.0;3.0;57.0;25.0;1.0;0.0;0.0;0.0;107.0
jerked;;;;;17.0;8.0;23.0;10.0;4.0;7.0;6.0;10.0;3.0;5.0;13.0;1.0;0.0;107.0
carriage;noun;-1;c1;3.0;1.0;0.0;0.0;0.0;0.0;7.0;29.0;11.0;9.0;3.0;3.0;0.0;44.0;107.0
bigger;;;;;23.0;11.0;28.0;3.0;4.0;1.0;3.0;4.0;4.0;8.0;17.0;1.0;0.0;107.0
terror;noun;-1;b2;2.0;13.0;11.0;21.0;2.0;9.0;8.0;9.0;12.0;3.0;17.0;2.0;0.0;0.0;107.0
temper;;;;;6.0;6.0;9.0;4.0;4.0;2.0;6.0;29.0;5.0;4.0;7.0;1.0;24.0;107.0
wildly;;;;;13.0;5.0;6.0;4.0;10.0;8.0;10.0;18.0;4.0;6.0;20.0;3.0;0.0;107.0
arry;;;;;0.0;28.0;8.0;3.0;2.0;12.0;13.0;16.0;18.0;7.0;0.0;0.0;0.0;107.0
handful;noun;-1;c1;3.0;10.0;23.0;15.0;2.0;1.0;5.0;7.0;6.0;0.0;1.0;33.0;3.0;0.0;106.0
study;noun;a1;a1;1.0;6.0;1.0;2.0;9.0;3.0;5.0;2.0;26.0;8.0;7.0;30.0;0.0;7.0;106.0
sake;noun;-1;c1;3.0;15.0;10.0;15.0;0.0;1.0;3.0;4.0;14.0;5.0;5.0;10.0;1.0;23.0;106.0
crossing;;;;;24.0;26.0;29.0;0.0;2.0;2.0;6.0;5.0;1.0;1.0;8.0;0.0;2.0;106.0
fond;adjective;-1;b2;2.0;7.0;19.0;29.0;2.0;2.0;2.0;4.0;3.0;5.0;5.0;11.0;1.0;16.0;106.0
aloud;;;;;11.0;10.0;18.0;2.0;7.0;3.0;6.0;12.0;11.0;8.0;7.0;0.0;11.0;106.0
inch;noun;b2;b2;2.0;4.0;12.0;19.0;1.0;11.0;7.0;12.0;18.0;8.0;9.0;4.0;1.0;0.0;106.0
rivers;;;;;20.0;38.0;44.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;106.0
bars;;;;;9.0;18.0;39.0;3.0;13.0;2.0;3.0;2.0;1.0;4.0;10.0;2.0;0.0;106.0
downstairs;adjective;a2;a2;1.0;0.0;0.0;2.0;4.0;8.0;8.0;19.0;25.0;7.0;20.0;7.0;0.0;6.0;106.0
bitter;adjective;b2;b2;2.0;17.0;19.0;21.0;1.0;1.0;1.0;0.0;6.0;9.0;5.0;22.0;2.0;2.0;106.0
pleasant;adjective;b1;b1;2.0;10.0;11.0;17.0;0.0;1.0;3.0;3.0;5.0;10.0;5.0;17.0;3.0;21.0;106.0
oberyn;;;;;0.0;1.0;105.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0
wagons;;;;;22.0;33.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;1.0;0.0;106.0
stands;;;;;7.0;7.0;20.0;9.0;4.0;5.0;24.0;14.0;6.0;1.0;7.0;0.0;2.0;106.0
allow;verb;a2;a2;1.0;12.0;7.0;8.0;0.0;2.0;3.0;16.0;10.0;11.0;3.0;3.0;0.0;31.0;106.0
safely;;;;;17.0;13.0;19.0;7.0;5.0;3.0;11.0;6.0;8.0;9.0;4.0;0.0;3.0;105.0
servant;noun;b1;b1;2.0;8.0;15.0;9.0;2.0;4.0;21.0;19.0;2.0;3.0;3.0;1.0;0.0;18.0;105.0
jory;;;;;93.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0
abruptly;;;;;10.0;11.0;13.0;0.0;6.0;17.0;12.0;16.0;3.0;9.0;6.0;0.0;2.0;105.0
stag;;;;;18.0;35.0;20.0;0.0;0.0;3.0;2.0;10.0;0.0;17.0;0.0;0.0;0.0;105.0
remains;noun;-1;c1;3.0;5.0;20.0;27.0;1.0;2.0;2.0;6.0;4.0;4.0;13.0;15.0;1.0;5.0;105.0
monster;noun;-1;b2;2.0;7.0;10.0;30.0;1.0;26.0;10.0;5.0;2.0;7.0;5.0;2.0;0.0;0.0;105.0
hunting;noun;b2;b2;2.0;28.0;25.0;28.0;1.0;1.0;0.0;3.0;4.0;4.0;4.0;5.0;1.0;1.0;105.0
loyal;adjective;-1;b2;2.0;18.0;33.0;40.0;1.0;2.0;0.0;2.0;2.0;2.0;4.0;1.0;0.0;0.0;105.0
hood;;;;;21.0;15.0;20.0;1.0;2.0;7.0;6.0;3.0;5.0;6.0;19.0;0.0;0.0;105.0
osha;;;;;39.0;63.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0
nowhere;adverb;a2;a2;1.0;8.0;15.0;10.0;3.0;2.0;5.0;8.0;13.0;8.0;12.0;17.0;3.0;1.0;105.0
bore;;;;;12.0;20.0;21.0;0.0;0.0;0.0;7.0;9.0;7.0;10.0;8.0;1.0;9.0;104.0
suit;noun;a2;a2;1.0;11.0;11.0;10.0;4.0;5.0;7.0;12.0;9.0;9.0;6.0;10.0;3.0;7.0;104.0
bleeding;;;;;9.0;13.0;21.0;0.0;2.0;8.0;7.0;18.0;1.0;10.0;15.0;0.0;0.0;104.0
blinked;;;;;12.0;17.0;17.0;5.0;6.0;5.0;10.0;8.0;10.0;5.0;7.0;2.0;0.0;104.0
cities;;;;;39.0;27.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0;0.0;104.0
purse;;;;;10.0;6.0;17.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;65.0;0.0;1.0;104.0
curses;;;;;12.0;12.0;11.0;2.0;1.0;2.0;27.0;7.0;7.0;22.0;1.0;0.0;0.0;104.0
stare;verb;b2;b2;2.0;11.0;12.0;15.0;5.0;9.0;6.0;10.0;11.0;7.0;6.0;12.0;0.0;0.0;104.0
twin;adjective;a2;a2;1.0;16.0;24.0;29.0;9.0;1.0;0.0;2.0;6.0;1.0;15.0;1.0;0.0;0.0;104.0
heading;;;;;1.0;3.0;1.0;1.0;2.0;11.0;8.0;27.0;14.0;9.0;22.0;5.0;0.0;104.0
weary;;;;;23.0;19.0;23.0;0.0;0.0;0.0;1.0;1.0;2.0;3.0;26.0;3.0;2.0;103.0
clouds;;;;;8.0;12.0;26.0;3.0;7.0;5.0;8.0;7.0;6.0;2.0;18.0;1.0;0.0;103.0
maxime;;;;;0.0;;;;;;98.0;4.0;1.0;0.0;0.0;0.0;0.0;103.0
howling;;;;;25.0;22.0;16.0;7.0;4.0;6.0;3.0;6.0;4.0;3.0;5.0;2.0;0.0;103.0
agree;verb;a1;a1;1.0;13.0;17.0;15.0;2.0;3.0;3.0;7.0;3.0;9.0;13.0;12.0;0.0;6.0;103.0
knowledge;noun;a2;a2;1.0;3.0;13.0;9.0;1.0;1.0;1.0;4.0;16.0;10.0;10.0;14.0;1.0;20.0;103.0
abandoned;;;;;9.0;11.0;38.0;0.0;1.0;2.0;6.0;8.0;8.0;6.0;12.0;2.0;0.0;103.0
glancing;;;;;10.0;6.0;5.0;4.0;9.0;6.0;5.0;18.0;12.0;18.0;4.0;2.0;4.0;103.0
gleaming;;;;;7.0;6.0;2.0;3.0;12.0;11.0;15.0;17.0;14.0;15.0;0.0;1.0;0.0;103.0
spirits;;;;;11.0;11.0;3.0;2.0;2.0;6.0;3.0;10.0;4.0;4.0;8.0;0.0;39.0;103.0
crash;noun;b2;b2;2.0;8.0;18.0;10.0;10.0;12.0;6.0;4.0;15.0;8.0;11.0;1.0;0.0;0.0;103.0
charge;noun;b1;b1;2.0;18.0;16.0;12.0;0.0;2.0;4.0;4.0;12.0;3.0;10.0;14.0;0.0;8.0;103.0
relieved;adjective;-1;b2;2.0;6.0;7.0;11.0;6.0;3.0;7.0;7.0;16.0;6.0;10.0;15.0;1.0;8.0;103.0
shore;noun;-1;b2;2.0;10.0;45.0;40.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;103.0
kettle;;;;;0.0;23.0;28.0;3.0;4.0;4.0;8.0;9.0;1.0;3.0;6.0;14.0;0.0;103.0
crimson;;;;;24.0;41.0;21.0;0.0;2.0;4.0;2.0;1.0;6.0;0.0;2.0;0.0;0.0;103.0
colored;;;;;5.0;14.0;12.0;2.0;3.0;6.0;17.0;11.0;12.0;15.0;4.0;1.0;0.0;102.0
extra;adjective;a1;a1;1.0;4.0;3.0;3.0;6.0;7.0;7.0;23.0;18.0;14.0;4.0;12.0;1.0;0.0;102.0
greater;;;;;9.0;12.0;8.0;0.0;1.0;4.0;5.0;3.0;3.0;14.0;17.0;1.0;25.0;102.0
favor;;;;;12.0;12.0;18.0;1.0;1.0;1.0;9.0;6.0;2.0;7.0;33.0;0.0;0.0;102.0
pig;noun;a1;a1;1.0;20.0;14.0;18.0;9.0;0.0;1.0;10.0;6.0;1.0;3.0;20.0;0.0;0.0;102.0
sour;;;;;22.0;29.0;26.0;0.0;1.0;2.0;2.0;1.0;2.0;3.0;12.0;1.0;1.0;102.0
cave;noun;-1;b2;2.0;1.0;8.0;32.0;0.0;0.0;0.0;13.0;6.0;27.0;13.0;2.0;0.0;0.0;102.0
floating;;;;;6.0;11.0;16.0;6.0;7.0;9.0;13.0;11.0;6.0;9.0;3.0;5.0;0.0;102.0
begun;;;;;15.0;21.0;26.0;1.0;6.0;0.0;5.0;5.0;1.0;9.0;7.0;4.0;2.0;102.0
dontos;;;;;2.0;52.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0
supper;;;;;14.0;29.0;38.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;5.0;0.0;11.0;102.0
glittering;;;;;1.0;3.0;6.0;5.0;10.0;15.0;14.0;14.0;10.0;18.0;6.0;0.0;0.0;102.0
cel;;;;;21.0;26.0;54.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0
tossed;;;;;21.0;32.0;28.0;0.0;0.0;1.0;5.0;1.0;0.0;3.0;11.0;0.0;0.0;102.0
echoing;;;;;7.0;4.0;17.0;0.0;10.0;3.0;12.0;16.0;10.0;16.0;5.0;2.0;0.0;102.0
concern;noun;b2;b2;2.0;20.0;8.0;18.0;2.0;3.0;2.0;3.0;6.0;1.0;4.0;9.0;0.0;26.0;102.0
chett;;;;;21.0;11.0;70.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0
curtains;;;;;9.0;6.0;7.0;4.0;5.0;5.0;12.0;22.0;9.0;15.0;6.0;0.0;1.0;101.0
demon;noun;-1;c1;3.0;3.0;15.0;8.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;73.0;0.0;0.0;101.0
satin;;;;;14.0;12.0;66.0;0.0;0.0;0.0;4.0;2.0;1.0;0.0;0.0;0.0;2.0;101.0
lap;noun;-1;c1;3.0;11.0;10.0;19.0;4.0;4.0;6.0;10.0;12.0;11.0;6.0;8.0;0.0;0.0;101.0
state;adjective;b1;b1;2.0;2.0;1.0;6.0;2.0;4.0;6.0;11.0;12.0;5.0;16.0;13.0;4.0;19.0;101.0
reaching;;;;;12.0;12.0;23.0;3.0;1.0;5.0;3.0;10.0;4.0;9.0;12.0;4.0;3.0;101.0
ale;;;;;11.0;36.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;101.0
fer;;;;;0.0;;;29.0;5.0;10.0;9.0;36.0;9.0;3.0;0.0;0.0;0.0;101.0
useful;adjective;a1;a1;1.0;4.0;4.0;7.0;6.0;7.0;7.0;15.0;16.0;14.0;7.0;8.0;0.0;6.0;101.0
rayder;;;;;7.0;17.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.0
patronus;;;;;0.0;;;;1.0;38.0;1.0;23.0;6.0;32.0;0.0;0.0;0.0;101.0
crystal;noun;-1;c1;3.0;10.0;16.0;6.0;2.0;1.0;20.0;3.0;10.0;14.0;7.0;0.0;12.0;0.0;101.0
hoster;;;;;25.0;24.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.0
wherever;conjunction;b2;b2;2.0;11.0;14.0;19.0;6.0;2.0;6.0;7.0;6.0;7.0;9.0;6.0;0.0;8.0;101.0
roots;;;;;9.0;13.0;19.0;2.0;5.0;17.0;7.0;6.0;4.0;8.0;8.0;3.0;0.0;101.0
fetch;;;;;17.0;20.0;17.0;1.0;2.0;0.0;7.0;6.0;8.0;5.0;11.0;4.0;3.0;101.0
presence;noun;b2;b2;2.0;10.0;8.0;20.0;0.0;0.0;3.0;2.0;16.0;10.0;15.0;11.0;0.0;6.0;101.0
witches;;;;;0.0;;;8.0;11.0;6.0;30.0;21.0;5.0;20.0;0.0;0.0;0.0;101.0
expecting;;;;;8.0;1.0;1.0;2.0;2.0;4.0;12.0;23.0;10.0;16.0;17.0;0.0;5.0;101.0
bannermen;;;;;33.0;41.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.0
losing;;;;;10.0;6.0;14.0;6.0;9.0;5.0;7.0;14.0;13.0;6.0;9.0;1.0;1.0;101.0
horcruxes;;;;;0.0;;;;;;;;50.0;50.0;0.0;0.0;0.0;100.0
studied;;;;;25.0;19.0;32.0;0.0;1.0;1.0;0.0;4.0;1.0;2.0;12.0;1.0;2.0;100.0
swirling;;;;;9.0;31.0;21.0;0.0;2.0;5.0;8.0;3.0;14.0;4.0;3.0;0.0;0.0;100.0
deny;verb;b2;b2;2.0;16.0;21.0;28.0;0.0;1.0;5.0;4.0;4.0;3.0;6.0;4.0;0.0;8.0;100.0
sim;;;;;0.0;;;;;;1.0;0.0;0.0;0.0;99.0;0.0;0.0;100.0
strangely;;;;;19.0;12.0;15.0;5.0;7.0;6.0;10.0;4.0;6.0;5.0;10.0;0.0;1.0;100.0
consider;verb;a2;a2;1.0;6.0;7.0;15.0;0.0;0.0;3.0;6.0;7.0;8.0;3.0;12.0;0.0;33.0;100.0
orders;;;;;11.0;6.0;15.0;2.0;0.0;4.0;7.0;14.0;21.0;12.0;1.0;0.0;7.0;100.0
raise;verb;a2;a2;1.0;7.0;19.0;16.0;2.0;4.0;3.0;8.0;9.0;10.0;13.0;9.0;0.0;0.0;100.0
xenophilius;;;;;0.0;;;;;;;;;100.0;0.0;0.0;0.0;100.0
honey;;;;;21.0;26.0;30.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;13.0;8.0;0.0;100.0
staggered;;;;;6.0;7.0;17.0;1.0;0.0;5.0;10.0;8.0;15.0;13.0;15.0;2.0;1.0;100.0
jaw;;;;;20.0;21.0;19.0;0.0;3.0;8.0;2.0;8.0;3.0;4.0;10.0;2.0;0.0;100.0
list;noun;a1;a1;1.0;5.0;10.0;2.0;7.0;15.0;5.0;12.0;16.0;7.0;9.0;9.0;0.0;3.0;100.0
cell;noun;b2;b2;2.0;19.0;19.0;42.0;0.0;2.0;1.0;3.0;1.0;2.0;4.0;7.0;0.0;0.0;100.0
feed;noun;b2;b2;2.0;18.0;26.0;33.0;2.0;2.0;2.0;1.0;2.0;5.0;7.0;2.0;0.0;0.0;100.0
twisting;;;;;6.0;22.0;22.0;2.0;5.0;6.0;5.0;6.0;8.0;3.0;7.0;8.0;0.0;100.0
eldest;;;;;9.0;26.0;35.0;0.0;1.0;1.0;1.0;2.0;4.0;2.0;0.0;0.0;19.0;100.0
possibly;adverb;b1;b1;2.0;4.0;2.0;10.0;5.0;9.0;6.0;10.0;11.0;18.0;10.0;7.0;0.0;8.0;100.0
ernie;;;;;0.0;;;;27.0;9.0;5.0;34.0;20.0;5.0;0.0;0.0;0.0;100.0
fortnight;;;;;25.0;20.0;22.0;0.0;0.0;0.0;2.0;2.0;6.0;0.0;0.0;0.0;23.0;100.0
oars;;;;;9.0;52.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0
tales;;;;;18.0;34.0;25.0;0.0;2.0;0.0;1.0;2.0;3.0;14.0;0.0;0.0;0.0;99.0
queer;;;;;24.0;37.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.0
beauty;noun;b1;b1;2.0;14.0;21.0;23.0;1.0;0.0;1.0;0.0;3.0;3.0;1.0;4.0;1.0;27.0;99.0
particular;adjective;a2;a2;1.0;8.0;5.0;1.0;0.0;1.0;3.0;5.0;7.0;15.0;5.0;21.0;0.0;28.0;99.0
gringotts;;;;;0.0;;;28.0;10.0;6.0;3.0;4.0;3.0;45.0;0.0;0.0;0.0;99.0
respect;noun;b1;b1;2.0;13.0;5.0;5.0;1.0;3.0;3.0;6.0;6.0;4.0;10.0;13.0;0.0;30.0;99.0
