Palabra;Categoría Gramatical;Oxford3000;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice;Suma Total
word;noun;a1;a1;1.0;139.0;119.0;142.0;18.0;20.0;31.0;65.0;62.0;65.0;60.0;76.0;0.0;48.0;845.0
arms;noun;b2;b2;2.0;152.0;128.0;156.0;23.0;17.0;21.0;50.0;62.0;46.0;76.0;95.0;17.0;0.0;843.0
full;adjective;a1;a1;1.0;57.0;74.0;95.0;37.0;35.0;36.0;58.0;116.0;71.0;71.0;118.0;49.0;19.0;836.0
eye;noun;a1;a1;1.0;60.0;72.0;91.0;12.0;25.0;29.0;140.0;141.0;43.0;110.0;92.0;4.0;15.0;834.0
close;adjective;a2;a2;1.0;132.0;121.0;136.0;19.0;20.0;32.0;32.0;77.0;46.0;96.0;96.0;17.0;9.0;833.0
ground;noun;a2;a2;1.0;111.0;98.0;119.0;34.0;28.0;40.0;93.0;80.0;43.0;74.0;91.0;11.0;11.0;833.0
reached;;;;;98.0;109.0;115.0;37.0;49.0;55.0;76.0;83.0;50.0;67.0;61.0;15.0;18.0;833.0
opened;;;;;91.0;73.0;100.0;19.0;64.0;50.0;73.0;109.0;49.0;74.0;87.0;26.0;17.0;832.0
fell;;;;;88.0;69.0;119.0;46.0;36.0;45.0;72.0;108.0;59.0;97.0;85.0;5.0;2.0;831.0
taken;;;;;136.0;142.0;137.0;28.0;27.0;30.0;54.0;52.0;57.0;74.0;57.0;1.0;31.0;826.0
moved;;;;;116.0;98.0;126.0;22.0;13.0;37.0;45.0;68.0;52.0;81.0;122.0;27.0;9.0;816.0
pulled;;;;;32.0;30.0;47.0;52.0;59.0;59.0;117.0;118.0;57.0;110.0;110.0;21.0;0.0;812.0
coming;;;;;73.0;84.0;130.0;34.0;32.0;44.0;100.0;74.0;52.0;61.0;51.0;13.0;60.0;808.0
lupin;;;;;0.0;;;;;408.0;7.0;163.0;63.0;167.0;0.0;0.0;0.0;808.0
held;;;;;88.0;90.0;119.0;22.0;18.0;31.0;51.0;43.0;32.0;64.0;208.0;37.0;5.0;808.0
