"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎(좌의정) ‎네 이놈!	‎(좌의정) ‎네 이놈!
‎(학주) ‎왕이 죽는 게 더 나을 것이다?	‎(학주) ‎왕이 죽는 게 더 나을 것이다?
‎역모를 인정하는 것이냐	‎역모를 인정하는 것이냐
‎그렇다면 새로운 바람	‎그렇다면 새로운 바람
‎너희들이 받드는 새로운 왕은 누구이냐	‎너희들이 받드는 새로운 왕은 누구이냐
‎이 나라의 국본, 세자인가?	‎이 나라의 국본, 세자인가?
‎"통명전"	‎"통명전"
‎[새가 지저귄다]	‎[새가 지저귄다]
‎[다가오는 발걸음]	‎[다가오는 발걸음]
‎(계비) ‎세자	‎(계비) ‎세자
‎거동도 힘든 이 어미의 처소 앞에서	‎거동도 힘든 이 어미의 처소 앞에서
‎며칠째 이러고 계시면 어찌합니까	‎며칠째 이러고 계시면 어찌합니까
‎아바마마께서 병중에 계신 지 ‎열흘째인데	‎아바마마께서 병중에 계신 지 ‎열흘째인데
‎아들로서 아무것도 해 드리지 못하니	‎아들로서 아무것도 해 드리지 못하니
‎이보다 더 큰 불효가 어디 있겠습니까	‎이보다 더 큰 불효가 어디 있겠습니까
‎부디 강녕전 출입을 허락하시어	‎부디 강녕전 출입을 허락하시어
‎아바마마의 곁에 있게 해 주십시오	‎아바마마의 곁에 있게 해 주십시오
‎아바마마께서는 ‎두창으로 쓰러지셨습니다	‎아바마마께서는 ‎두창으로 쓰러지셨습니다
‎(계비) ‎곁에서 시탕을 들다가 ‎세자마저 같은 병에 걸려 쓰러진다면	‎(계비) ‎곁에서 시탕을 들다가 ‎세자마저 같은 병에 걸려 쓰러진다면
‎그 누가 이 나라의 조정을 ‎지킨단 말입니까	‎그 누가 이 나라의 조정을 ‎지킨단 말입니까
‎왕실의 큰 어른으로서 ‎절대 허락할 수 없으니	‎왕실의 큰 어른으로서 ‎절대 허락할 수 없으니
‎어서 돌아가세요	‎어서 돌아가세요
‎한 가지만 대답해 주십시오	‎한 가지만 대답해 주십시오
‎아바마마께서 정녕 무사하신 것입니까	‎아바마마께서 정녕 무사하신 것입니까
‎세자는	‎세자는
‎아바마마에 대한 효만 배우시고 ‎[어두운 음악]	‎아바마마에 대한 효만 배우시고 ‎[어두운 음악]
‎이 어미에 대한 효는 ‎못 배우셨나 봅니다	‎이 어미에 대한 효는 ‎못 배우셨나 봅니다
‎(계비) ‎아랫것들 앞에서 ‎어미를 이리 불충하게 대하시다니요	‎(계비) ‎아랫것들 앞에서 ‎어미를 이리 불충하게 대하시다니요
‎이 어미가 그리도 미우신 겝니까?	‎이 어미가 그리도 미우신 겝니까?
‎아니면 아직 태어나지도 않은	‎아니면 아직 태어나지도 않은
‎이 아우가 미우신 겝니까?	‎이 아우가 미우신 겝니까?
‎마마, 그 어찌...	‎마마, 그 어찌...
‎(계비) ‎그런 게 아니시라면	‎(계비) ‎그런 게 아니시라면
‎어서 돌아가세요	‎어서 돌아가세요
‎뭣들 하느냐, 세자를 뫼시지 않고	‎뭣들 하느냐, 세자를 뫼시지 않고
‎[하늘이 우르릉거린다]	‎[하늘이 우르릉거린다]
‎내 직접 아바마마를 뵈어야겠다	‎내 직접 아바마마를 뵈어야겠다
‎강녕전으로 갈 것이다	‎강녕전으로 갈 것이다
‎(내시) ‎저하, 잊으셨습니까	‎(내시) ‎저하, 잊으셨습니까
‎강녕전에 세자 저하의 출입을 금하라는 ‎중전마마의 지엄한 명이 계셨습니다	‎강녕전에 세자 저하의 출입을 금하라는 ‎중전마마의 지엄한 명이 계셨습니다
‎(창) ‎비켜라	‎(창) ‎비켜라
‎비키라 하였다!	‎비키라 하였다!
‎[무거운 음악]	‎[무거운 음악]
‎(내시) ‎통촉하여 주시옵소서!	‎(내시) ‎통촉하여 주시옵소서!
‎너희는 누구의 궁인이냐	‎너희는 누구의 궁인이냐
‎너희가 섬기는 왕은!	‎너희가 섬기는 왕은!
‎아바마마인가, 해원 조씨인가!	‎아바마마인가, 해원 조씨인가!
‎대전이건 중궁전이건 동궁전이건	‎대전이건 중궁전이건 동궁전이건
‎이 궐 안에 해원 조씨를 ‎따르지 않는 사람은 없단 말이냐!	‎이 궐 안에 해원 조씨를 ‎따르지 않는 사람은 없단 말이냐!
‎(내시) ‎저하!	‎(내시) ‎저하!
‎(함께) ‎통촉하여 주시옵소서!	‎(함께) ‎통촉하여 주시옵소서!
‎(창) ‎좌익위를 부르라	‎(창) ‎좌익위를 부르라
‎[거친 숨소리]	‎[거친 숨소리]
‎(무영) ‎부르셨습니까	‎(무영) ‎부르셨습니까
‎[창의 성난 숨소리]	‎[창의 성난 숨소리]
‎[창의 거친 숨소리]	‎[창의 거친 숨소리]
‎[무영의 한숨]	‎[무영의 한숨]
‎(무영) ‎제 1년 치 녹봉보다 비싼 것을 ‎집어 던지시면 어찌하십니까	‎(무영) ‎제 1년 치 녹봉보다 비싼 것을 ‎집어 던지시면 어찌하십니까
‎그렇게 성질을 부리실 거면 차라리	‎그렇게 성질을 부리실 거면 차라리
‎중전마마 얼굴에 ‎집어 던지시지 그러셨습니까	‎중전마마 얼굴에 ‎집어 던지시지 그러셨습니까
‎(창) ‎세자에게 가장 중요한 덕목이 효인데	‎(창) ‎세자에게 가장 중요한 덕목이 효인데
‎패악을 부려 ‎폐세자라도 된다면 곤란하지	‎패악을 부려 ‎폐세자라도 된다면 곤란하지
‎머리에 피도 마르지 않은 ‎어린 계집이지만	‎머리에 피도 마르지 않은 ‎어린 계집이지만
‎명색이 내 어머니 아니냐	‎명색이 내 어머니 아니냐
‎(무영) ‎참...	‎(무영) ‎참...
‎효심도 지극하십니다	‎효심도 지극하십니다
‎(창) ‎해 줘야 할 일이 하나 있다	‎(창) ‎해 줘야 할 일이 하나 있다
‎(무영) ‎설마...	‎(무영) ‎설마...
