"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎(영신) ‎그래서 언제 오냐고, 이승희 의원	‎(영신) ‎그래서 언제 오냐고, 이승희 의원
‎그 사람 의술이 장난 아니라 해서 ‎여기까지 왔구먼	‎그 사람 의술이 장난 아니라 해서 ‎여기까지 왔구먼
‎댁 상처는	‎댁 상처는
‎주둥아리 닥치고 있으면 금방 나으니까	‎주둥아리 닥치고 있으면 금방 나으니까
‎그만 돌아가시죠	‎그만 돌아가시죠
‎[영신의 어이없는 숨소리]	‎[영신의 어이없는 숨소리]
‎(영신) ‎아, 나...	‎(영신) ‎아, 나...
‎[헛웃음]	‎[헛웃음]
‎뭘 봐, 이놈아	‎뭘 봐, 이놈아
‎[의녀1의 한숨]	‎[의녀1의 한숨]
‎(의녀1) ‎먹는 게 그러다 보니까 ‎약도 잘 안 듣고	‎(의녀1) ‎먹는 게 그러다 보니까 ‎약도 잘 안 듣고
‎진짜 큰일이다	‎진짜 큰일이다
‎(의녀2) ‎이승희 의원님이 돌아오셨어요!	‎(의녀2) ‎이승희 의원님이 돌아오셨어요!
‎(병자2) ‎얼른얼른, 의원님 오셨어!	‎(병자2) ‎얼른얼른, 의원님 오셨어!
‎[사람들이 웅성거린다]	‎[사람들이 웅성거린다]
‎(병자2) ‎저기 오신다!	‎(병자2) ‎저기 오신다!
‎[어두운 음악] ‎[사람들이 술렁인다]	‎[어두운 음악] ‎[사람들이 술렁인다]
‎(서비) ‎오셨어요?	‎(서비) ‎오셨어요?
‎[남자1이 말을 어른다]	‎[남자1이 말을 어른다]
‎저게 무엇입니까?	‎저게 무엇입니까?
‎장례 준비를 하거라	‎장례 준비를 하거라
‎(서비) ‎예?	‎(서비) ‎예?
‎아, 누구의 장례 말입니까?	‎아, 누구의 장례 말입니까?
‎(남자1) ‎행님	‎(남자1) ‎행님
‎행님, 관 좀 잡아 주이소	‎행님, 관 좀 잡아 주이소
‎(남자2) ‎한번 보십시다	‎(남자2) ‎한번 보십시다
‎[사람들의 놀란 신음]	‎[사람들의 놀란 신음]
‎- (남자3) 단아 ‎- (여자2) 단이야	‎- (남자3) 단아 ‎- (여자2) 단이야
‎- (남자4) 단이야 ‎- (여자2) 단이, 어떡해	‎- (남자4) 단이야 ‎- (여자2) 단이, 어떡해
‎- (여자2) 어떡해... ‎- (남자5) 어쩌다 이래 됐노	‎- (여자2) 어떡해... ‎- (남자5) 어쩌다 이래 됐노
‎[사람들이 술렁인다]	‎[사람들이 술렁인다]
‎(의녀2) ‎이게 무슨 일이야...	‎(의녀2) ‎이게 무슨 일이야...
‎[서비의 다급한 숨소리]	‎[서비의 다급한 숨소리]
‎(서비) ‎스승님!	‎(서비) ‎스승님!
‎스승님 ‎무슨 일이 있으셨던 겁니까, 예?	‎스승님 ‎무슨 일이 있으셨던 겁니까, 예?
‎도대체 한양에서 무슨 일이 있으셨길래	‎도대체 한양에서 무슨 일이 있으셨길래
‎단이가 저리 처참한 모습으로 ‎돌아온 겁니까?	‎단이가 저리 처참한 모습으로 ‎돌아온 겁니까?
‎말씀해 주십시오	‎말씀해 주십시오
‎[이 의원의 한숨]	‎[이 의원의 한숨]
‎아무 일도 없었다	‎아무 일도 없었다
‎아무 일도...	‎아무 일도...
‎아무 일도 없었어	‎아무 일도 없었어
‎[문이 달칵 닫힌다]	‎[문이 달칵 닫힌다]
‎(좌의정) ‎전하를 폐위시키고	‎(좌의정) ‎전하를 폐위시키고
‎세자 저하를 새로운 왕으로 추대해	‎세자 저하를 새로운 왕으로 추대해
‎새로운 세상을 열겠다 ‎적혀 있습니다	‎새로운 세상을 열겠다 ‎적혀 있습니다
‎(우의정) ‎이는 역모의 결정적인 증거입니다	‎(우의정) ‎이는 역모의 결정적인 증거입니다
‎(좌의정) ‎당장 세자 저하를 의금부로 압송해	‎(좌의정) ‎당장 세자 저하를 의금부로 압송해
‎조사하는 것이 마땅합니다	‎조사하는 것이 마땅합니다
‎그 서신은 어디서 ‎어떻게 발견된 것입니까?	‎그 서신은 어디서 ‎어떻게 발견된 것입니까?
‎압송된 유생 중 한 명의 집에	‎압송된 유생 중 한 명의 집에
‎이 서신이 있다는 고변자가 있었소	‎이 서신이 있다는 고변자가 있었소
‎참으로 기특한 고변자입니다	‎참으로 기특한 고변자입니다
‎(대제학) ‎역모에 가담한 유생들 89명을 ‎하나같이 알고 있었고	‎(대제학) ‎역모에 가담한 유생들 89명을 ‎하나같이 알고 있었고
‎남몰래 오간 서신이 있는 곳까지 ‎알고 있었다?	‎남몰래 오간 서신이 있는 곳까지 ‎알고 있었다?
‎도대체 그자가 누구입니까?	‎도대체 그자가 누구입니까?
‎(학주) ‎그것이 그리도 중요하오?	‎(학주) ‎그것이 그리도 중요하오?
‎압송된 유생들 89명 아무도 ‎역모를 시인하지 않았습니다	‎압송된 유생들 89명 아무도 ‎역모를 시인하지 않았습니다
‎한데 그 고변자의 진술 하나만 믿고 ‎이리 역모로 몰아가는 것은	‎한데 그 고변자의 진술 하나만 믿고 ‎이리 역모로 몰아가는 것은
‎이 나라의 근간인 유림을 ‎무시하는 처사로밖에 볼 수가 없소이다	‎이 나라의 근간인 유림을 ‎무시하는 처사로밖에 볼 수가 없소이다
‎[학주의 웃음]	‎[학주의 웃음]
‎(학주) ‎이 나라의 근간이 유림이라...	‎(학주) ‎이 나라의 근간이 유림이라...
‎그런 유림이 ‎이 나라를 위해 한 일이 무엇이 있소?	‎그런 유림이 ‎이 나라를 위해 한 일이 무엇이 있소?
‎그 무슨 말이오!	‎그 무슨 말이오!
‎(학주) ‎처참한 전란이	‎(학주) ‎처참한 전란이
‎두 번이나 이 땅을 휩쓸었소	‎두 번이나 이 땅을 휩쓸었소
‎그때	‎그때
‎왜 우리가 ‎그리 무기력하게 당했는지 아시오?	‎왜 우리가 ‎그리 무기력하게 당했는지 아시오?
‎논어니 맹자니	‎논어니 맹자니
‎입으로만 나불대면서 ‎아무 일도 하지 않은	‎입으로만 나불대면서 ‎아무 일도 하지 않은
‎허약한 유림이 ‎이 나라를 이끌었기 때문이오	‎허약한 유림이 ‎이 나라를 이끌었기 때문이오
‎지금도 마찬가지	‎지금도 마찬가지
‎(대제학) ‎영상 대감, 말씀이 지나치시오	‎(대제학) ‎영상 대감, 말씀이 지나치시오
‎[긴장되는 음악]	‎[긴장되는 음악]
‎(대제학) ‎[힘겨운 목소리로] ‎이게 무슨 짓이오, 영상!	‎(대제학) ‎[힘겨운 목소리로] ‎이게 무슨 짓이오, 영상!
‎잘 안 보이시오?	‎잘 안 보이시오?
‎더 잘 보이게 해 드릴까?	‎더 잘 보이게 해 드릴까?
‎[괴로워하는 신음]	‎[괴로워하는 신음]
‎뭐라 적혀 있는지 이제는 보이시오?	‎뭐라 적혀 있는지 이제는 보이시오?
‎이 나라의 하늘을 무너뜨리고	‎이 나라의 하늘을 무너뜨리고
‎질서를 어지럽히고	‎질서를 어지럽히고
‎(학주) ‎혼란에 빠뜨려 ‎망국의 길로 이끈다 적혀 있소	‎(학주) ‎혼란에 빠뜨려 ‎망국의 길로 이끈다 적혀 있소
‎이리 끔찍한 글을 앞에 두고	‎이리 끔찍한 글을 앞에 두고
‎이 나라를 받드는 조정의 대신으로서 ‎무엇을 해야 할 것인가	‎이 나라를 받드는 조정의 대신으로서 ‎무엇을 해야 할 것인가
‎또 전란 때처럼 탁상에 앉아 ‎시시비비만 가리고 있을 것인가!	‎또 전란 때처럼 탁상에 앉아 ‎시시비비만 가리고 있을 것인가!
‎대감, 이제 그만하시지요	‎대감, 이제 그만하시지요
‎[거친 숨소리]	‎[거친 숨소리]
‎[힘겨운 숨소리]	‎[힘겨운 숨소리]
‎당장 세자를 의금부로 압송하라	‎당장 세자를 의금부로 압송하라
‎(범일) ‎세자는 어디 있느냐	‎(범일) ‎세자는 어디 있느냐
‎(내시) ‎저희는 모릅니다	‎(내시) ‎저희는 모릅니다
‎[궁인들의 떨리는 숨소리]	‎[궁인들의 떨리는 숨소리]
‎(범일) ‎다시 한번 똑같은 대답을 하면 ‎이번엔 목이 날아갈 것이다	‎(범일) ‎다시 한번 똑같은 대답을 하면 ‎이번엔 목이 날아갈 것이다
‎세자는 어디 있느냐	‎세자는 어디 있느냐
‎- 소인은 정말로 모르겠습니다 ‎- (상궁) 아뢰옵기 황송하오나	‎- 소인은 정말로 모르겠습니다 ‎- (상궁) 아뢰옵기 황송하오나
‎(상궁) ‎아까부터 저희도 계속 찾았지만	‎(상궁) ‎아까부터 저희도 계속 찾았지만
‎동궁전 그 어디에도 계시지 않았습니다	‎동궁전 그 어디에도 계시지 않았습니다
‎직접 보시지 않으셨습니까	‎직접 보시지 않으셨습니까
‎세자를 찾아라!	‎세자를 찾아라!
‎(범일) ‎궐 안이건 한양성이건 ‎샅샅이 뒤져서 의금부로 끌고 오라!	‎(범일) ‎궐 안이건 한양성이건 ‎샅샅이 뒤져서 의금부로 끌고 오라!
‎세자는 이제	‎세자는 이제
‎이 나라의 국본이 아닌	‎이 나라의 국본이 아닌
‎역모를 꾸민 대역죄인이다	‎역모를 꾸민 대역죄인이다
‎[상궁의 떨리는 숨소리]	‎[상궁의 떨리는 숨소리]
‎[내시의 신음]	‎[내시의 신음]
‎[상궁의 놀란 숨소리]	‎[상궁의 놀란 숨소리]
‎[내시가 컥컥거린다]	‎[내시가 컥컥거린다]
‎[새가 지저귄다]	‎[새가 지저귄다]
‎[까마귀 울음]	‎[까마귀 울음]
‎(무영) ‎아유, 참... ‎[닭 울음]	‎(무영) ‎아유, 참... ‎[닭 울음]
‎게 있느냐!	‎게 있느냐!
‎[벌레가 윙윙거린다]	‎[벌레가 윙윙거린다]
‎(아이1) ‎목욕했어 ‎[아이들의 웃음]	‎(아이1) ‎목욕했어 ‎[아이들의 웃음]
‎(무영) ‎이리 오너라!	‎(무영) ‎이리 오너라!
‎(사령) ‎예, 예	‎(사령) ‎예, 예
‎(무영) ‎자네가 내의원 사령 ‎박가 종영이 맞는가?	‎(무영) ‎자네가 내의원 사령 ‎박가 종영이 맞는가?
‎(사령) ‎[당황한 목소리로] ‎아, 예	‎(사령) ‎[당황한 목소리로] ‎아, 예
‎아유	‎아유
‎세자익위사께서 ‎무슨 일로 저를 찾아오셨습니까?	‎세자익위사께서 ‎무슨 일로 저를 찾아오셨습니까?
‎동래에서 온 이승희 의원을 찾고 있네	‎동래에서 온 이승희 의원을 찾고 있네
‎이번 달 초사흘	‎이번 달 초사흘
‎자네가 당직을 섰을 때 ‎입궁한 의원일세	‎자네가 당직을 섰을 때 ‎입궁한 의원일세
‎그, 성함은 모르겠지만	‎그, 성함은 모르겠지만
‎동래에서 오신 의원님께선 ‎벌써 내려가셨습니다	‎동래에서 오신 의원님께선 ‎벌써 내려가셨습니다
‎함께 온 종자가 위독하여 ‎데리고 내려가신다 하셨습니다	‎함께 온 종자가 위독하여 ‎데리고 내려가신다 하셨습니다
‎병세가 어떤지 묻거라	‎병세가 어떤지 묻거라
‎함께 온 종자가 왜 위독한 것이냐?	‎함께 온 종자가 왜 위독한 것이냐?
‎두창에 걸린 것이냐?	‎두창에 걸린 것이냐?
‎아, 제가 무지렁이인지라 ‎제대로 알진 못하지만 ‎[어두운 음악]	‎아, 제가 무지렁이인지라 ‎제대로 알진 못하지만 ‎[어두운 음악]
‎병은 아니었습니다	‎병은 아니었습니다
‎(사령) ‎여기저기 큰 상처가 있었습니다	‎(사령) ‎여기저기 큰 상처가 있었습니다
‎꼭 무슨 큰 짐승한테 물린 것 같은 ‎상처였습니다	‎꼭 무슨 큰 짐승한테 물린 것 같은 ‎상처였습니다
‎[까마귀 울음]	‎[까마귀 울음]
‎(무영) ‎저하, 서두르셔야 합니다	‎(무영) ‎저하, 서두르셔야 합니다
‎이러다 들키겠습니다 ‎빨리 돌아가셔야 합니다	‎이러다 들키겠습니다 ‎빨리 돌아가셔야 합니다
‎저쪽이 남쪽이니 ‎저 길의 끝에 동래가 있겠구나	‎저쪽이 남쪽이니 ‎저 길의 끝에 동래가 있겠구나
‎난 알아야겠다	‎난 알아야겠다
‎아바마마께, 이 나라의 왕실에	‎아바마마께, 이 나라의 왕실에
‎무슨 일이 벌어졌는지	‎무슨 일이 벌어졌는지
‎무슨 말씀이십니까?	‎무슨 말씀이십니까?
‎동래로 가야겠다	‎동래로 가야겠다
‎(무영) ‎동래를요?	‎(무영) ‎동래를요?
‎지금요?	‎지금요?
‎아니, 수발들 내시도 없이 ‎궁녀도 없이	‎아니, 수발들 내시도 없이 ‎궁녀도 없이
‎딸랑 저하랑 저랑 둘이서요?	‎딸랑 저하랑 저랑 둘이서요?
‎아니 되옵니다	‎아니 되옵니다
‎갈 것이다	‎갈 것이다
‎한양에서 동래까지의 길이 ‎얼마나 먼 길인지 아십니까?	‎한양에서 동래까지의 길이 ‎얼마나 먼 길인지 아십니까?
‎궁궐에서 여기 올 때도	‎궁궐에서 여기 올 때도
‎시궁창 냄새 때문에 ‎뒷간 냄새 때문에	‎시궁창 냄새 때문에 ‎뒷간 냄새 때문에
‎(무영) ‎몇 번이나 구역질을 하셨지 않습니까?	‎(무영) ‎몇 번이나 구역질을 하셨지 않습니까?
‎그런데 저 먼 동래 길을	‎그런데 저 먼 동래 길을
‎900리 길을 ‎그 고된 길을 어찌 가시려고 하십니까?	‎900리 길을 ‎그 고된 길을 어찌 가시려고 하십니까?
‎지금까지 살아온 것이 ‎그보다 더 고되었다	‎지금까지 살아온 것이 ‎그보다 더 고되었다
‎진지는 어떡하시고요?	‎진지는 어떡하시고요?
‎궁궐에서 드시던 산해진미는 ‎구경조차 못 하실 겁니다	‎궁궐에서 드시던 산해진미는 ‎구경조차 못 하실 겁니다
‎상관없다	‎상관없다
‎산적이나 폭도를 만날 수도 있습니다	‎산적이나 폭도를 만날 수도 있습니다
‎그들 손에 죽을 수도 있사옵니다	‎그들 손에 죽을 수도 있사옵니다
‎여기 남아 있어도 죽을 것이다	‎여기 남아 있어도 죽을 것이다
‎역모 때문에 그러십니까?	‎역모 때문에 그러십니까?
‎저하, 저하께서 ‎하지도 않은 일을 가지고	‎저하, 저하께서 ‎하지도 않은 일을 가지고
‎아무리 해원 조씨라 해도 ‎저하를 어떻게 할 수는 없습니다	‎아무리 해원 조씨라 해도 ‎저하를 어떻게 할 수는 없습니다
‎내가 했다	‎내가 했다
‎예?	‎예?
‎방금 뭐라 하셨습니까?	‎방금 뭐라 하셨습니까?
‎내가 역모를 꿈꿨다	‎내가 역모를 꿈꿨다
‎[무거운 음악]	‎[무거운 음악]
‎아니, 왜요?	‎아니, 왜요?
‎어찌...	‎어찌...
‎그냥 가만히 계셔도 일국의 왕이 되실 ‎세자 저하가 아니십니까	‎그냥 가만히 계셔도 일국의 왕이 되실 ‎세자 저하가 아니십니까
‎근데 왜요?	‎근데 왜요?
‎[붓을 달각 내려놓는다]	‎[붓을 달각 내려놓는다]
‎세자...	‎세자...
‎그래	‎그래
‎난 이 나라의 세자다	‎난 이 나라의 세자다
‎아버지의 하나뿐인 아들이지만	‎아버지의 하나뿐인 아들이지만
‎적통인 계비가 아들을 낳으면 ‎죽을 수밖에 없는	‎적통인 계비가 아들을 낳으면 ‎죽을 수밖에 없는
‎후궁의 몸에서 태어난 반쪽짜리 세자	‎후궁의 몸에서 태어난 반쪽짜리 세자
‎그래서 그리하였다	‎그래서 그리하였다
‎살고 싶어서	‎살고 싶어서
‎[당황한 숨을 내뱉는다]	‎[당황한 숨을 내뱉는다]
‎- 그래도... ‎- (창) 지금도 마찬가지다	‎- 그래도... ‎- (창) 지금도 마찬가지다
‎의금부에서 날 보호하기 위해 ‎수많은 유생들이 죽어 가고 있다	‎의금부에서 날 보호하기 위해 ‎수많은 유생들이 죽어 가고 있다
‎(창) ‎그들을 살리고 나도 살 수 있는 길이	‎(창) ‎그들을 살리고 나도 살 수 있는 길이
‎저 남쪽 끝 동래에 있다	‎저 남쪽 끝 동래에 있다
‎동래 지율헌으로 가 ‎이승희 의원을 만나	‎동래 지율헌으로 가 ‎이승희 의원을 만나
‎아바마마께 무슨 일이 생겼는지 ‎알아내야만 한다	‎아바마마께 무슨 일이 생겼는지 ‎알아내야만 한다
‎[기합]	‎[기합]
‎[멀어지는 말발굽 소리]	‎[멀어지는 말발굽 소리]
‎[한숨] ‎[말 울음]	‎[한숨] ‎[말 울음]
‎[무영의 기합]	‎[무영의 기합]
‎(사령) ‎[흐느끼며] ‎종자가 위독하여	‎(사령) ‎[흐느끼며] ‎종자가 위독하여
‎데리고 갔다고 말했을 뿐입니다	‎데리고 갔다고 말했을 뿐입니다
‎사, 사, 살려 주십시오 ‎[사령이 흐느낀다]	‎사, 사, 살려 주십시오 ‎[사령이 흐느낀다]
‎(범일) ‎분명	‎(범일) ‎분명
‎세자는 이승희 의원을 찾아 ‎동래로 간 것입니다	‎세자는 이승희 의원을 찾아 ‎동래로 간 것입니다
‎그때 제가 말씀드리지 않았습니까	‎그때 제가 말씀드리지 않았습니까
‎이승희 의원을 죽여 ‎입을 막았어야 했습니다	‎이승희 의원을 죽여 ‎입을 막았어야 했습니다
‎이승희 의원은	‎이승희 의원은
‎아직 우리에게 필요한 사람이다	‎아직 우리에게 필요한 사람이다
‎(학주) ‎하지만	‎(학주) ‎하지만
‎세자는 아니지	‎세자는 아니지
‎[긴장되는 음악]	‎[긴장되는 음악]
‎"숙의문"	‎"숙의문"
‎(학주) ‎파발을 띄워도 세자보다 느릴 것이다	‎(학주) ‎파발을 띄워도 세자보다 느릴 것이다
‎너희가 직접 가서 세자를 막아야 한다	‎너희가 직접 가서 세자를 막아야 한다
‎날랜 기병 열 기가 선발대로 출발하고	‎날랜 기병 열 기가 선발대로 출발하고
‎(학주) ‎금군의 정예 부대 오십이 ‎그 뒤를 따른다	‎(학주) ‎금군의 정예 부대 오십이 ‎그 뒤를 따른다
‎동래에 가기 전에 ‎지율헌에 가기 전에	‎동래에 가기 전에 ‎지율헌에 가기 전에
‎반드시 막아야만 한다	‎반드시 막아야만 한다
‎세자를 죽이는 한이 있더라도	‎세자를 죽이는 한이 있더라도
‎"한양 ‎동래"	‎"한양 ‎동래"
‎[서비가 흙을 삭삭 긁는다]	‎[서비가 흙을 삭삭 긁는다]
‎[가방을 부스럭 정리한다]	‎[가방을 부스럭 정리한다]
‎[서비의 한숨]	‎[서비의 한숨]
‎(의녀1) ‎자꾸 생각나	‎(의녀1) ‎자꾸 생각나
‎단이...	‎단이...
‎그 이상한 상처들	‎그 이상한 상처들
‎가자	‎가자
‎(의녀1) ‎어?	‎(의녀1) ‎어?
‎굴뚝에서 연기가...	‎굴뚝에서 연기가...
‎[어두운 음악]	‎[어두운 음악]
‎뭐지?	‎뭐지?
‎(병자3) ‎얼마 만이야, 이게	‎(병자3) ‎얼마 만이야, 이게
‎[병자들이 웅성거린다]	‎[병자들이 웅성거린다]
‎(병자4) ‎살 것 같네, 와, 세상에 ‎의녀님, 여기 한 그릇 더 주시오	‎(병자4) ‎살 것 같네, 와, 세상에 ‎의녀님, 여기 한 그릇 더 주시오
‎(병자5) ‎국 진짜 맛있네	‎(병자5) ‎국 진짜 맛있네
‎- (의녀1) 그게 뭐예요? ‎- (병자6) 맛있어 뒈지겠구먼	‎- (의녀1) 그게 뭐예요? ‎- (병자6) 맛있어 뒈지겠구먼
‎[병자들의 웃음]	‎[병자들의 웃음]
‎(서비) ‎이게 뭐예요?	‎(서비) ‎이게 뭐예요?
‎(영신) ‎눈이 없나, 보면 몰라?	‎(영신) ‎눈이 없나, 보면 몰라?
‎병자들은 굶어 죽어 가는데	‎병자들은 굶어 죽어 가는데
‎의원이라는 작자는 ‎방구석에만 틀어박혀 있으니	‎의원이라는 작자는 ‎방구석에만 틀어박혀 있으니
‎[그릇을 탁 내려놓는다]	‎[그릇을 탁 내려놓는다]
‎나라도 살자 싶어서 ‎사슴 한 마리 잡아 왔다, 왜?	‎나라도 살자 싶어서 ‎사슴 한 마리 잡아 왔다, 왜?
‎(서비) ‎사슴요?	‎(서비) ‎사슴요?
‎지금 산속에 사슴이 남아 있다고요?	‎지금 산속에 사슴이 남아 있다고요?
‎관에 허락은 받았어요?	‎관에 허락은 받았어요?
‎(영신) ‎왜, 죽는 것도 관에 허락받고 죽지?	‎(영신) ‎왜, 죽는 것도 관에 허락받고 죽지?
‎어떻게 이 바닥은 ‎먹을 걸 가져와도 난리야	‎어떻게 이 바닥은 ‎먹을 걸 가져와도 난리야
‎[병자들이 저마다 말한다] ‎[병자들의 웃음]	‎[병자들이 저마다 말한다] ‎[병자들의 웃음]
‎[병자들이 저마다 만족해한다] ‎[병자들의 웃음]	‎[병자들이 저마다 만족해한다] ‎[병자들의 웃음]
‎[아기 울음]	‎[아기 울음]
‎(병자7) ‎저, 의녀님	‎(병자7) ‎저, 의녀님
‎저, 죄송한데 ‎조금만 더 주실 수 없을까요?	‎저, 죄송한데 ‎조금만 더 주실 수 없을까요?
‎애 엄마가 젖을 먹이려고 하는데 ‎젖이 잘 안 나와요	‎애 엄마가 젖을 먹이려고 하는데 ‎젖이 잘 안 나와요
‎- 예 ‎- (병자7) 예	‎- 예 ‎- (병자7) 예
‎[그릇을 댕그랑 내려놓는다]	‎[그릇을 댕그랑 내려놓는다]
‎[숨을 들이켠다]	‎[숨을 들이켠다]
‎[탄성]	‎[탄성]
‎[아기 울음이 들린다]	‎[아기 울음이 들린다]
‎(병자7) ‎[아기를 어르며] ‎괜찮아, 어	‎(병자7) ‎[아기를 어르며] ‎괜찮아, 어
‎[그릇을 달그락 집어 든다]	‎[그릇을 달그락 집어 든다]
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[서비의 비명]	‎[서비의 비명]
‎왜?	‎왜?
‎(서비) ‎당신! 어떻게 그럴 수가 있어, 어떻게?	‎(서비) ‎당신! 어떻게 그럴 수가 있어, 어떻게?
‎(영신) ‎대체 무슨 소리를 하는 거야	‎(영신) ‎대체 무슨 소리를 하는 거야
‎봤어	‎봤어
‎봤어	‎봤어
‎어떻게 사람을, 어?	‎어떻게 사람을, 어?
‎어떻게...	‎어떻게...
‎그 애는 우리 지율헌 식구였는데	‎그 애는 우리 지율헌 식구였는데
‎(영신) ‎식구건 어린애건	‎(영신) ‎식구건 어린애건
‎죽은 후에는 그저 고기일 뿐이지	‎죽은 후에는 그저 고기일 뿐이지
‎당신 미쳤어?	‎당신 미쳤어?
‎그 애도 우리랑 똑같은 사람이었다고	‎그 애도 우리랑 똑같은 사람이었다고
‎어떻게 사람이 사람을 먹어!	‎어떻게 사람이 사람을 먹어!
‎(영신) ‎그래서	‎(영신) ‎그래서
‎다 함께 굶어 죽자?	‎다 함께 굶어 죽자?
‎아, 예의니 법도니 따져 가면서	‎아, 예의니 법도니 따져 가면서
‎그딴 생각으로 살았다면 ‎동래성 사람들 벌써 반은 굶어 죽었어	‎그딴 생각으로 살았다면 ‎동래성 사람들 벌써 반은 굶어 죽었어
‎그게 무슨 소리야?	‎그게 무슨 소리야?
‎(영신) ‎저 아래에 있는 사람들이 ‎어떻게 살아남았을 거 같아?	‎(영신) ‎저 아래에 있는 사람들이 ‎어떻게 살아남았을 거 같아?
‎아...	‎아...
‎그 사람들을 뭐 ‎나라님이 살렸을 거 같아?	‎그 사람들을 뭐 ‎나라님이 살렸을 거 같아?
‎아니, 그 사람들 살린 건	‎아니, 그 사람들 살린 건
‎배고픔에 굶주리다가 죽은 ‎이웃들의 살과 뼈야	‎배고픔에 굶주리다가 죽은 ‎이웃들의 살과 뼈야
‎(서비) ‎말도 안 돼	‎(서비) ‎말도 안 돼
‎(영신) ‎그쪽은 그쪽 마음대로 살아	‎(영신) ‎그쪽은 그쪽 마음대로 살아
‎나는 어떻게든 ‎살아남는 쪽을 택할 테니까	‎나는 어떻게든 ‎살아남는 쪽을 택할 테니까
‎(아이2) ‎아, 맛있다	‎(아이2) ‎아, 맛있다
‎[의녀1의 웃음]	‎[의녀1의 웃음]
‎(의녀1) ‎종구야, 괜찮아?	‎(의녀1) ‎종구야, 괜찮아?
‎왜, 왜 그래, 어떡해	‎왜, 왜 그래, 어떡해
‎[아이2가 꺽꺽거린다]	‎[아이2가 꺽꺽거린다]
‎종구야!	‎종구야!
‎종구야!	‎종구야!
‎종구야!	‎종구야!
‎[아이2의 괴로워하는 신음] ‎종구야, 종구야	‎[아이2의 괴로워하는 신음] ‎종구야, 종구야
‎[병자들의 괴로워하는 신음]	‎[병자들의 괴로워하는 신음]
‎[아이2의 괴로워하는 신음]	‎[아이2의 괴로워하는 신음]
‎(의녀1) ‎[울먹이며] ‎종구야, 종구야	‎(의녀1) ‎[울먹이며] ‎종구야, 종구야
‎[병자들의 괴로워하는 신음]	‎[병자들의 괴로워하는 신음]
‎[맥없는 신음]	‎[맥없는 신음]
‎(의녀1) ‎종구야...	‎(의녀1) ‎종구야...
‎종구야!	‎종구야!
‎[병자8이 괴상한 신음을 내뱉는다]	‎[병자8이 괴상한 신음을 내뱉는다]
‎[괴로워하는 신음]	‎[괴로워하는 신음]
‎[긴장감이 고조되는 음악]	‎[긴장감이 고조되는 음악]
‎(의녀1) ‎의원님!	‎(의녀1) ‎의원님!
‎[의녀1의 놀란 신음]	‎[의녀1의 놀란 신음]
‎[그르렁거리는 숨소리가 들린다]	‎[그르렁거리는 숨소리가 들린다]
‎[의녀1의 놀란 숨소리]	‎[의녀1의 놀란 숨소리]
‎[그르렁거리는 소리가 난다]	‎[그르렁거리는 소리가 난다]
‎[의녀1의 놀란 숨소리] ‎[그르렁거리는 소리가 들린다]	‎[의녀1의 놀란 숨소리] ‎[그르렁거리는 소리가 들린다]
‎(의녀1) ‎아저씨	‎(의녀1) ‎아저씨
‎[병자9의 괴로워하는 신음] ‎아저씨!	‎[병자9의 괴로워하는 신음] ‎아저씨!
‎아저씨, 잠깐만!	‎아저씨, 잠깐만!
‎[의녀1의 다급한 신음]	‎[의녀1의 다급한 신음]
‎아저씨!	‎아저씨!
‎[의녀1의 힘주는 신음]	‎[의녀1의 힘주는 신음]
‎[병자9가 캑캑거린다]	‎[병자9가 캑캑거린다]
‎[의녀1의 힘주는 신음]	‎[의녀1의 힘주는 신음]
‎[병자9의 괴로워하는 신음] ‎[의녀1의 거친 숨소리]	‎[병자9의 괴로워하는 신음] ‎[의녀1의 거친 숨소리]
‎[의녀1의 거친 숨소리]	‎[의녀1의 거친 숨소리]
‎[아이2의 괴성]	‎[아이2의 괴성]
‎더 할 말 있어?	‎더 할 말 있어?
‎[의녀1의 비명이 들린다]	‎[의녀1의 비명이 들린다]
‎[어두운 음악]	‎[어두운 음악]
‎[팍 물어뜯긴다] ‎[그르렁거리는 소리가 들린다]	‎[팍 물어뜯긴다] ‎[그르렁거리는 소리가 들린다]
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[괴성]	‎[괴성]
‎[무거운 음악]	‎[무거운 음악]
‎[어두운 음악]	‎[어두운 음악]
